frequencyData_00,frequencyData_01,frequencyData_02,frequencyData_03,frequencyData_04,frequencyData_05,frequencyData_06,frequencyData_07,frequencyData_08,frequencyData_09,frequencyData_10,frequencyData_11,frequencyData_12,frequencyData_13,frequencyData_14,frequencyData_15,frequencyData_16,frequencyData_17,frequencyData_18,frequencyData_19,frequencyData_20,frequencyData_21,frequencyData_22,frequencyData_23,frequencyData_24,frequencyData_25,frequencyData_26,frequencyData_27,frequencyData_28,frequencyData_29,frequencyData_30,frequencyData_31,energyAverage,dbgLowRaw,dbgBodyRaw,dbgHighRaw,dbgSubRaw,dbgCoreRaw,dbgContamRaw,dbgLowNorm,dbgBodyNorm,dbgHighNorm,dbgLowRise,dbgRatio,dbgRawRatio,dbgSubNorm,dbgCoreNorm,dbgContamNorm,dbgCoreRawRatio,dbgSubAvg,dbgCoreAvg,dbgSupportAvg,dbgSubOverAvg,dbgCoreOverAvg,dbgSupportOverAvg,dbgLowPeak,dbgBodyPeak,dbgHighPeak,dbgSubBodyRatio,dbgContamWeighted,dbgSupportRaw,dbgSupportDominance,dbgSignalActive,dbgHighDominant,dbgLowQualified,dbgRawBassSupport,dbgCandidate,dbgAccepted,dbgPendingScore,dbgFlashStrength,dbgPendingActive,dbgPendingAgeMs,dbgRefractoryLeftMs,dbgPulseAgeMs,dbgPulse,dbgDetectorTickMs,dbgOnsetThreshold,dbgPeakPickWindowMs,dbgRefractoryMs,dbgEnergyFloor,dbgLowRawFloor,dbgLowBodyRawFloor,dbgSubBodyRatioThreshold,dbgSupportDominanceThreshold,dbgContamNormMax,dbgContamWeightedMax,dbgStrongCoreNormThreshold,dbgCoreRawRatioThreshold,dbgSubOverAvgThreshold,dbgCoreOverAvgThreshold,dbgSupportOverAvgThreshold,ts_epoch,ts_rel
0,0.000244,0.000244,0,0.000244,0.000244,0,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000183,0.000229,0.000336,0.000183,0.00029,0.000336,0.017059,0.008041,0.081467,0.008514,1.5,1.5,0.017059,0.00975,0.081467,2.111099,0.002075,0.006668,0.011536,0.088226,0.043472,0.047607,0.010727,0.028427,0.00412,0.857132,0.523804,0.000549,1.5,0,0,0,0,0,0,0,1,0,0,0,-10445.46,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301064.437827,8.654594421386719e-05
0.000244,0,0.000244,0.000244,0.000336,0.000336,0.000244,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000183,0.000381,0.000366,0.000183,0.000229,0.000366,0.018143,0.014252,0.094482,0.005539,1.366653,1.366653,0.018143,0.008179,0.094482,1.25,0.001892,0.006104,0.010605,0.096771,0.037491,0.050354,0.010086,0.026764,0.003876,0.580643,0.585358,0.000534,1.366653,0,0,0,0,0,0,0,1,0,0,0,-10368.92,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301064.520238,0.08249735832214355
0.000244,0,0.000244,0.000244,0,0.000244,0,0,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000153,0.000244,0.000336,0.000153,0.000122,0.000336,0.016068,0.009689,0.092422,0,1.035706,1.035706,0.016068,0.004623,0.092422,0.363632,0.001724,0.0056,0.009766,0.088486,0.02179,0.035934,0.009491,0.025192,0.003632,0.727264,0.758606,0.000351,1.035706,0,0,0,0,0,0,0,1,0,0,0,-10292.9,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301064.5958424,0.15810179710388184
0.000534,0,0.000336,0.000336,0.000488,0.000244,0.000244,0,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,7.6e-05,0.00029,0.000336,7.6e-05,0.000168,0.000336,0.008286,0.011856,0.095642,0.004257,1,1,0.008286,0.006561,0.095642,1,0.001648,0.005356,0.009354,0.046295,0.031326,0.035889,0.009201,0.024445,0.00351,0.439987,0.785706,0.000336,1,0,0,0,0,0,0,0,1,0,0,0,-10198,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301064.680445,0.2427043914794922
0.000244,0,0.000244,0.000336,0.000336,0.000244,0.000244,0,0.000244,0.000336,0,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000153,0.000259,0.000336,0.000153,0.000198,0.000336,0.017624,0.011261,0.101837,0.004868,1.214279,1.214279,0.017624,0.00824,0.101837,1,0.001495,0.004913,0.008591,0.102036,0.040359,0.049728,0.008652,0.02301,0.003296,0.695648,0.647049,0.000427,1.214279,0,0,0,0,0,0,0,1,0,0,0,-10102.95,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301064.770981,0.3332405090332031
0,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000183,0.000229,0.000336,0.000183,0.000259,0.000336,0.022507,0.010559,0.108902,0.006546,1.428558,1.428558,0.022507,0.011444,0.108902,1.0625,0.001358,0.004501,0.007904,0.134827,0.057617,0.065628,0.008133,0.021652,0.003082,0.857132,0.549988,0.000519,1.428558,0,0,0,0,0,0,0,1,0,0,0,-10026.92,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301064.862694,0.4249534606933594
0.000336,0.000244,0.000244,0,0.000244,0.000244,0.000244,0.000534,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000153,0.000275,0.000336,0.000153,0.000214,0.000336,0.019333,0.013062,0.112244,0.003998,1.285706,1.285706,0.019333,0.00972,0.112244,0.823517,0.001297,0.004303,0.007584,0.117645,0.049637,0.060349,0.007889,0.021011,0.002991,0.666657,0.611099,0.000458,1.285706,0,0,0,0,0,0,0,1,0,0,0,-9950.888,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301064.941599,0.5038583278656006
0.000244,0,0.000244,0.000336,0,0.000244,0.000244,0.000336,0.000244,0,0,0.000336,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000183,0.000244,0.00029,0.000183,0.000214,0.00029,0.024689,0.012344,0.103256,0.005692,1.479996,1.479996,0.024689,0.01033,0.103256,0.933319,0.001175,0.003937,0.006989,0.155838,0.05426,0.067673,0.007416,0.019775,0.002808,0.818176,0.513504,0.000473,1.479996,0,0,0,0,0,0,0,1,0,0,0,-9874.658,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.0149648,0.5772242546081543
0,0,0.000534,0.000336,0,0.000244,0.000336,0.000244,0.000244,0.000534,0,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000534,0.000336,0.000336,0.000336,0.000229,0.000244,0.000275,0.000305,0.000244,0.000275,0.000305,0.035004,0.014755,0.116272,0.006882,1.769226,1.769226,0.035004,0.014099,0.116272,0.947357,0.001053,0.003601,0.006424,0.231873,0.076263,0.095001,0.006973,0.0186,0.002625,0.916657,0.434769,0.00061,1.769226,0,0,0,0,0,0,0,1,0,0,0,-9783.853,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.0930812,0.6553406715393066
0.000244,0,0.000244,0.000244,0.000244,0.000244,0,0,0.000336,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000153,0.000244,0.000336,0.000153,0.000153,0.000336,0.0233,0.013931,0.136642,0.00267,1.107132,1.107132,0.0233,0.008316,0.136642,0.666657,0.000961,0.003296,0.00592,0.158722,0.046295,0.064423,0.006546,0.017517,0.002457,0.727264,0.709671,0.000381,1.107132,0,0,0,0,0,0,0,1,0,0,0,-9694.078,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.1816666,0.7439260482788086
