frequencyData_00,frequencyData_01,frequencyData_02,frequencyData_03,frequencyData_04,frequencyData_05,frequencyData_06,frequencyData_07,frequencyData_08,frequencyData_09,frequencyData_10,frequencyData_11,frequencyData_12,frequencyData_13,frequencyData_14,frequencyData_15,frequencyData_16,frequencyData_17,frequencyData_18,frequencyData_19,frequencyData_20,frequencyData_21,frequencyData_22,frequencyData_23,frequencyData_24,frequencyData_25,frequencyData_26,frequencyData_27,frequencyData_28,frequencyData_29,frequencyData_30,frequencyData_31,energyAverage,dbgLowRaw,dbgBodyRaw,dbgHighRaw,dbgSubRaw,dbgCoreRaw,dbgContamRaw,dbgLowNorm,dbgBodyNorm,dbgHighNorm,dbgLowRise,dbgRatio,dbgRawRatio,dbgSubNorm,dbgCoreNorm,dbgContamNorm,dbgCoreRawRatio,dbgSubAvg,dbgCoreAvg,dbgSupportAvg,dbgSubOverAvg,dbgCoreOverAvg,dbgSupportOverAvg,dbgLowPeak,dbgBodyPeak,dbgHighPeak,dbgSubBodyRatio,dbgContamWeighted,dbgSupportRaw,dbgSupportDominance,dbgSignalActive,dbgHighDominant,dbgLowQualified,dbgRawBassSupport,dbgCandidate,dbgAccepted,dbgPendingScore,dbgFlashStrength,dbgPendingActive,dbgPendingAgeMs,dbgRefractoryLeftMs,dbgPulseAgeMs,dbgPulse,dbgDetectorTickMs,dbgTickId,dbgDetectorTimeS,dbgOnsetThreshold,dbgPeakPickWindowMs,dbgRefractoryMs,dbgEnergyFloor,dbgLowRawFloor,dbgLowBodyRawFloor,dbgSubBodyRatioThreshold,dbgSupportDominanceThreshold,dbgContamNormMax,dbgContamWeightedMax,dbgStrongCoreNormThreshold,dbgCoreRawRatioThreshold,dbgSubOverAvgThreshold,dbgCoreOverAvgThreshold,dbgSupportOverAvgThreshold,ts_epoch,ts_rel
0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000229,0.000275,0.000259,0.000336,0.000275,0.00029,0.000336,0.145157,0.151779,1,0.081985,1.714279,1.714279,0.145157,0.11377,1,1.461533,9.2e-05,9.2e-05,0.000366,3,3.166657,1.75,0.001892,0.001709,0.000336,1.043472,0.458328,0.000641,1.714279,0,1,0,0,0,0,0,1,0,0,0,-1863.396,0,50,584,29.19287,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306250.411756,0.0003616809844970703
0.000244,0.000687,0.000244,0.000534,0.000244,0.000488,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000259,0.000183,0.00029,0.000259,0.000275,0.00029,0.141663,0.111099,0.904755,0.054214,1.799988,1.799988,0.141663,0.111099,0.904755,0.947357,9.2e-05,9.2e-05,0.000366,2.833328,3,1.625,0.001831,0.001648,0.00032,1.277771,0.422211,0.000595,1.799988,0,1,0,0,0,0,0,1,0,0,0,-1787.368,0,50,585,29.24286,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306250.4872737,0.07587933540344238
0.000244,0.000534,0.000244,0.000336,0.000336,0.000244,0.000336,0,0.000244,0.000244,0,0.000244,0.000336,0.000488,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000137,0.000305,0.000336,0.000336,0.000305,0.20369,0.092773,0.952377,0.080582,2.038452,2.038452,0.20369,0.149658,0.952377,1.099991,9.2e-05,9.2e-05,0.000366,3.666657,3.666657,1.958328,0.001648,0.00148,0.00032,1.866653,0.37735,0.000717,2.038452,0,1,0,0,0,0,0,1,0,0,0,-1672.842,0,50,588,29.39282,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306250.59697,0.1855757236480713
0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000488,0.000244,0.000336,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000229,0.000153,0.000381,0.000305,0.000153,0.000183,0.000305,0.096146,0.265945,1,0.009674,1.384613,1.384613,0.096146,0.084503,1,0.571426,9.2e-05,9.2e-05,0.000366,1.666657,2,1.25,0.001587,0.001434,0.000305,0.516129,0.555542,0.000458,1.384613,0,1,0,0,0,0,0,1,0,0,0,-1587.449,0,50,589,29.44281,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306250.682601,0.2712066173553467
0.000336,0,0.000244,0.000336,0.000336,0.000244,0,0,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000214,0.000305,0.000366,0.000336,0.000305,0.00032,0.000336,0.206177,0.27272,1,0.071503,1.964279,1.964279,0.206177,0.159088,1,0.954544,9.2e-05,9.2e-05,0.000381,3.333328,3.5,1.959991,0.00148,0.001343,0.000336,0.866653,0.399994,0.000748,1.964279,0,1,0,0,0,0,0,1,0,0,0,-1491.937,0,50,591,29.54279,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306250.7799196,0.36852526664733887
0.000488,0.000244,0.000336,0.000336,0.000336,0.000534,0.000244,0.000336,0.000244,0.000534,0.000244,0.000336,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.00029,0.000412,0.000443,0.000366,0.000412,0.000275,0.000366,0.296692,0.353653,1,0.074844,2.033325,2.033325,0.296692,0.145157,1,1,9.2e-05,9.2e-05,0.000381,4.5,3,2.199997,0.001389,0.001251,0.000366,0.942856,0.393433,0.000839,2.033325,0,1,0,0,0,0,0,1,0,0,0,-1411.593,0,50,593,29.64276,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306250.8634245,0.4520301818847656
0.00087,0,0.000488,0.000336,0,0.000488,0.000336,0.000244,0,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000275,0.000381,0.000244,0.000305,0.000381,0.000336,0.000305,0.294113,0.210526,0.909088,0.106323,2.230759,2.230759,0.294113,0.189651,0.909088,1.157883,9.2e-05,9.2e-05,0.000381,4.166657,3.666657,2.079987,0.001297,0.00116,0.000336,1.409088,0.344818,0.000793,2.230759,0,1,0,0,0,0,0,1,0,0,0,-1297.542,0,50,595,29.74274,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306250.9532356,0.5418412685394287
0.000244,0.000244,0.000244,0.000336,0,0.000336,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000229,0.000183,0.000351,0.000412,0.000183,0.000168,0.000412,0.151886,0.328568,1,0.017029,1.121201,1.121201,0.151886,0.101837,1,0.578934,9.2e-05,9.2e-05,0.000366,2,1.833328,1.291657,0.001205,0.001068,0.000412,0.620682,0.729721,0.000473,1.121201,0,1,0,0,0,0,0,1,0,0,0,-1210.878,0,50,597,29.84271,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306251.0591385,0.6477441787719727
0.000244,0,0.000244,0.000244,0.000336,0.000336,0.000488,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000229,0.000305,0.000214,0.000305,0.000305,0.000366,0.000305,0.263153,0.208954,0.769226,0.17984,2.07692,2.07692,0.263153,0.230759,0.769226,1.846146,9.2e-05,9.2e-05,0.000366,3.333328,4,2,0.00116,0.001022,0.000397,1.299988,0.370361,0.000732,2.07692,0,1,0,0,0,0,0,1,0,0,0,-1130.608,0,50,598,29.8927,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306251.1386733,0.7272789478302002
0.000244,0.000534,0.000244,0.000336,0,0.000244,0.000244,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000183,7.6e-05,0.000259,0.000305,7.6e-05,0.000229,0.000305,0.071426,0.269836,0.833328,0.064636,1.192307,1.192307,0.071426,0.154633,0.833328,0.833328,9.2e-05,9.2e-05,0.000366,0.833328,2.5,1.041656,0.001068,0.000961,0.000366,0.478256,0.645157,0.000381,1.192307,0,1,0,0,0,0,0,1,0,0,0,-1049.828,0,50,600,29.99268,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774306251.2199008,0.8085064888000488
