frequencyData_00,frequencyData_01,frequencyData_02,frequencyData_03,frequencyData_04,frequencyData_05,frequencyData_06,frequencyData_07,frequencyData_08,frequencyData_09,frequencyData_10,frequencyData_11,frequencyData_12,frequencyData_13,frequencyData_14,frequencyData_15,frequencyData_16,frequencyData_17,frequencyData_18,frequencyData_19,frequencyData_20,frequencyData_21,frequencyData_22,frequencyData_23,frequencyData_24,frequencyData_25,frequencyData_26,frequencyData_27,frequencyData_28,frequencyData_29,frequencyData_30,frequencyData_31,energyAverage,dbgLowRaw,dbgBodyRaw,dbgHighRaw,dbgSubRaw,dbgCoreRaw,dbgContamRaw,dbgLowNorm,dbgBodyNorm,dbgHighNorm,dbgLowRise,dbgRatio,dbgRawRatio,dbgSubNorm,dbgCoreNorm,dbgContamNorm,dbgCoreRawRatio,dbgSubAvg,dbgCoreAvg,dbgSupportAvg,dbgSubOverAvg,dbgCoreOverAvg,dbgSupportOverAvg,dbgSupportRawRatio,dbgLowPeak,dbgBodyPeak,dbgHighPeak,dbgSubBodyRatio,dbgContamWeighted,dbgSupportRaw,dbgSupportDominance,dbgSignalActive,dbgHighDominant,dbgLowQualified,dbgRawBassSupport,dbgCandidate,dbgAccepted,dbgPendingScore,dbgFlashStrength,dbgPendingActive,dbgPendingAgeMs,dbgRefractoryLeftMs,dbgPulseAgeMs,dbgPulse,dbgDetectorTickMs,dbgOnsetThreshold,dbgPeakPickWindowMs,dbgRefractoryMs,dbgEnergyFloor,dbgLowRawFloor,dbgLowBodyRawFloor,dbgSubBodyRatioThreshold,dbgSupportDominanceThreshold,dbgContamNormMax,dbgContamWeightedMax,dbgStrongCoreNormThreshold,dbgCoreRawRatioThreshold,dbgSubOverAvgThreshold,dbgCoreOverAvgThreshold,dbgSupportOverAvgThreshold,dbgSupportRawRatioThreshold,ts_epoch,ts_rel
0,0,0.000336,0.000244,0.000244,0,0.000534,0,0.000244,0.000336,0,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000198,0.000183,0.000275,0.000336,0.000183,0.000275,0.000336,0.75,1,1,0.684219,1.5,1.5,0.75,1,1,1.285706,9.2e-05,9.2e-05,9.2e-05,2,3,6,1.285706,0.000244,0.000275,0.000336,0.75,0.523804,0.000549,1.5,0,1,0,0,0,0,0,1,0,0,0,-7495.715,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300572.1993296,0.00034356117248535156
0.000244,0.000244,0.000534,0.000244,0.000244,0.000336,0.000244,0.000244,0,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000244,0.000244,0.000336,0.000244,0.000275,0.000336,1,0.799988,1,0.6875,1.607132,1.607132,1,1,1,1.5,9.2e-05,9.2e-05,9.2e-05,2.666657,3,6.5,1.695648,0.000244,0.000305,0.000336,1,0.488876,0.000595,1.607132,0,1,0,0,0,0,0,1,0,0,0,-7295.846,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300572.3993175,0.200331449508667
0,0,0.000244,0.000336,0.000244,0.000336,0.000488,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000168,0.000244,0.000275,0.000336,0.000244,0.00029,0.000336,1,1,1,0.611115,1.678558,1.678558,1,1,1,1.266663,9.2e-05,9.2e-05,9.2e-05,2.666657,3.166657,6.833328,1.171417,0.000244,0.000275,0.000336,0.916657,0.468079,0.000626,1.678558,0,1,0,0,0,0,0,1,0,0,0,-7124.353,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300572.4846046,0.28561854362487793
0,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000168,0.000183,0.000229,0.000336,0.000183,0.00029,0.000336,0.631577,0.9375,1,0.666672,1.5,1.5,0.631577,1,1,1.357132,9.2e-05,9.2e-05,9.2e-05,2,3.166657,6,1.565216,0.00029,0.000244,0.000336,0.857132,0.523804,0.000549,1.5,0,1,0,0,0,0,0,1,0,0,0,-6910.832,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300572.652399,0.4534130096435547
0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000244,0,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000183,0.00029,0.000305,0.000183,0.000183,0.000305,0.799988,1,0.952377,0.299988,1.384613,1.384613,0.799988,0.799988,0.952377,0.705872,9.2e-05,9.2e-05,9.2e-05,2,2,5,0.769226,0.000229,0.00029,0.00032,0.719986,0.555542,0.000458,1.384613,0,1,0,0,0,0,0,1,0,0,0,-6706.453,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300572.8688169,0.6698307991027832
0.000244,0,0.000336,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0,0.000336,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000183,0.000244,0.000336,0.000183,0.000244,0.000336,0.666657,0.941162,1,0.642868,1.392853,1.392853,0.666657,1,1,1.333328,9.2e-05,9.2e-05,9.2e-05,2,2.666657,5.5,0.824997,0.000275,0.000259,0.000336,0.818176,0.564102,0.000504,1.392853,0,1,0,0,0,0,0,1,0,0,0,-6610.922,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300573.0918677,0.8928816318511963
0.000534,0,0.000534,0.000244,0.000244,0.000244,0.000244,0,0.000244,0.000244,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000183,0.000183,0.000214,0.000305,0.000183,0.000244,0.000305,0.705872,0.875,0.952377,0.5,1.461533,1.461533,0.705872,1,0.952377,0.941162,9.2e-05,9.2e-05,9.2e-05,2,2.666657,5.333328,0.820511,0.000259,0.000244,0.00032,0.899994,0.526306,0.000488,1.461533,0,1,0,0,0,0,0,1,0,0,0,-6530.62,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300573.1662278,0.9672417640686035
0,0.000244,0.000244,0.000336,0.000336,0,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000153,0.000305,0.000305,0.000153,0.000183,0.000305,0.454544,1,1,0.299988,1.307678,1.307678,0.454544,0.799988,1,0.705872,9.2e-05,9.2e-05,9.2e-05,1.666657,2,4.666657,0.583328,0.000336,0.000305,0.000305,0.615372,0.588226,0.000427,1.307678,0,1,0,0,0,0,0,1,0,0,0,-6454.463,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300573.2487829,1.0497968196868896
0.000244,0,0.000336,0.000244,0,0.000336,0.000336,0,0.000244,0.000244,0.000336,0,0,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000183,0.000275,0.000305,0.000183,0.000183,0.000305,0.571426,0.947357,1,0.457138,1.384613,1.384613,0.571426,0.857132,1,0.857132,9.2e-05,9.2e-05,9.2e-05,2,2,5,0.88234,0.00032,0.00029,0.000305,0.75,0.555542,0.000458,1.384613,0,1,0,0,0,0,0,1,0,0,0,-6378.431,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300573.3246114,1.1256253719329834
0.000244,0,0.000336,0.000336,0.000336,0.000488,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000183,0.000183,0.00032,0.000336,0.000183,0.000183,0.000336,0.631577,1,1,0.5,1.321426,1.321426,0.631577,1,1,0.799988,9.2e-05,9.2e-05,9.2e-05,2,2,5.166657,0.911758,0.00029,0.00032,0.000336,0.666657,0.594589,0.000473,1.321426,0,1,0,0,0,0,0,1,0,0,0,-6301.925,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300573.3982968,1.1993107795715332
