time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.180649,0.000192,0.029409,0.137263,0.000000,0.000212,0.000200,0.000200,0.000048,0.000302,0.001985,0.005160,0.010338,0.041006,0.088554,0.084297,0.117086,0.093234,0.227409,0.087887,0.128761,0.140340,0.117297,0.146063,0.124678,0.075138,0.131358,0.195026,0.226088,0.471814,0.442804,0.176193,0.150391,0.033681,0.007462,0.010795,0.009182,0,0,0,0,0,0
0.023220,0.202787,0.000286,0.040879,0.171431,0.000093,0.000335,0.000408,0.000408,0.000041,0.000237,0.004594,0.008110,0.023974,0.052030,0.115685,0.071475,0.087476,0.061521,0.233595,0.067407,0.124130,0.186837,0.198609,0.116190,0.144801,0.123439,0.205270,0.225053,0.322571,0.752952,0.800625,0.349146,0.186898,0.064783,0.010358,0.011856,0.011453,0,0,0,0,0,0
0.046440,0.311652,0.000198,0.041203,0.214246,0.000000,0.000120,0.000312,0.000312,0.000037,0.000209,0.003717,0.003898,0.013826,0.031037,0.153537,0.043583,0.038880,0.030180,0.207655,0.044422,0.197800,0.166564,0.275413,0.120953,0.171266,0.218766,0.282415,0.212535,0.452325,0.654549,0.822796,0.261338,0.167579,0.082567,0.030262,0.021036,0.012101,0,0,0,0,0,0
0.069660,0.309753,0.000139,0.052799,0.545660,0.000000,0.000055,0.000117,0.000117,0.000067,0.000339,0.001445,0.004170,0.012716,0.058850,0.186814,0.273405,0.443743,0.340688,0.615258,0.356199,0.418165,0.522324,0.670489,0.450535,0.459158,0.828856,0.762141,0.408753,0.579983,0.854387,0.598833,0.367428,0.345327,0.233989,0.116457,0.081108,0.037901,0,0,0,0,0,0
0.092880,0.305745,0.000943,0.145864,0.291899,0.000804,0.000000,0.000056,0.000056,0.000524,0.004078,0.011134,0.051584,0.104651,0.156585,0.405368,0.527890,0.449586,0.406284,0.456162,0.235593,0.193002,0.244240,0.440404,0.269113,0.200553,0.443419,0.316035,0.314168,0.262461,0.691827,0.333017,0.264395,0.177379,0.124427,0.057773,0.041234,0.023342,0,0,0,0,0,0
0.116100,0.299115,0.006322,0.049910,0.102399,0.005380,0.000019,0.000376,0.000376,0.007279,0.023563,0.038702,0.046991,0.044821,0.042231,0.076807,0.088987,0.023383,0.040465,0.181317,0.019148,0.021384,0.083439,0.161393,0.075646,0.096438,0.109303,0.108544,0.210213,0.138485,0.280682,0.156147,0.109930,0.063939,0.037322,0.011279,0.007249,0.004940,0,0,0,0,0,0
0.139320,0.199199,0.005381,0.003718,0.059307,0.000000,0.000074,0.001818,0.001818,0.013853,0.009344,0.007655,0.003646,0.000457,0.000648,0.006184,0.004037,0.003493,0.023691,0.056267,0.010566,0.013273,0.078439,0.103727,0.033354,0.043561,0.049177,0.068560,0.134177,0.058230,0.070149,0.059178,0.067508,0.027705,0.022936,0.007520,0.003960,0.003944,0,0,0,0,0,0
0.162540,0.177522,0.003279,0.001684,0.059390,0.000000,0.000400,0.005180,0.005180,0.005238,0.000399,0.000005,0.000539,0.001618,0.004942,0.001314,0.001265,0.005859,0.019594,0.018498,0.016617,0.028358,0.063375,0.088162,0.051971,0.028345,0.053689,0.034865,0.135837,0.092680,0.063675,0.063504,0.090399,0.042762,0.044352,0.013691,0.013014,0.012750,0,0,0,0,0,0
0.185760,0.172414,0.002280,0.003695,0.159110,0.000000,0.001371,0.004626,0.004626,0.000753,0.000024,0.000262,0.000608,0.006278,0.004039,0.007291,0.005720,0.033388,0.109580,0.101656,0.050181,0.067293,0.156569,0.253582,0.119085,0.091362,0.170259,0.083772,0.262377,0.336616,0.218100,0.155235,0.224689,0.175730,0.111078,0.041632,0.044884,0.033876,0,0,0,0,0,0
0.208980,0.175303,0.001479,0.003342,0.191985,0.000000,0.001894,0.002690,0.002690,0.000080,0.000039,0.000963,0.001365,0.006154,0.001636,0.006594,0.011221,0.026818,0.194613,0.121249,0.043238,0.083306,0.152841,0.265357,0.123727,0.083276,0.224124,0.122582,0.376439,0.444964,0.247946,0.150174,0.179021,0.126974,0.061149,0.031143,0.029481,0.018674,0,0,0,0,0,0
