time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.381966,0.131082,0.041601,0.054755,0.000000,0.176528,0.149852,0.149852,0.136265,0.042914,0.061321,0.060822,0.010005,0.023143,0.052712,0.134410,0.023549,0.090597,0.057603,0.139913,0.054508,0.059008,0.156000,0.011472,0.041948,0.013135,0.027597,0.011318,0.032647,0.017290,0.036493,0.024173,0.013903,0.006175,0.011961,0.007557,0.004779,0,0,1,0,0,0
0.023220,0.434038,0.259335,0.034595,0.078148,0.128253,0.428104,0.381499,0.381499,0.094905,0.010668,0.017595,0.059101,0.004326,0.013334,0.078617,0.209713,0.027654,0.248463,0.076272,0.258203,0.073038,0.039725,0.167968,0.034863,0.058684,0.022022,0.039518,0.021086,0.066371,0.031039,0.057463,0.046784,0.024432,0.009337,0.019050,0.012974,0.005915,1,1,0,1,0,0
0.046440,0.501530,0.217881,0.028456,0.084466,0.000000,0.507468,0.281490,0.281490,0.018830,0.000127,0.019599,0.031472,0.005159,0.002003,0.084045,0.160187,0.028417,0.195072,0.129376,0.355526,0.025479,0.018201,0.249493,0.042363,0.024896,0.020911,0.033097,0.018033,0.056664,0.032232,0.054279,0.046200,0.018560,0.005985,0.015681,0.009563,0.004495,0,0,0,0,0,0
0.069660,0.464577,0.125347,0.022464,0.111932,0.000000,0.334165,0.142351,0.142351,0.007332,0.000536,0.034557,0.030096,0.003194,0.001825,0.042646,0.094581,0.026922,0.297857,0.133839,0.676427,0.013581,0.021780,0.274079,0.036649,0.008614,0.012188,0.025386,0.017797,0.032818,0.039947,0.084886,0.069770,0.017107,0.004891,0.019988,0.008255,0.004756,0,0,0,0,0,0
0.092880,0.486216,0.048899,0.029409,0.111024,0.000000,0.127674,0.056734,0.056734,0.003255,0.000096,0.046514,0.072664,0.002590,0.004544,0.020731,0.105035,0.025792,0.187169,0.112657,0.703875,0.008773,0.031689,0.234013,0.034383,0.006522,0.017877,0.025081,0.020078,0.027949,0.047567,0.090074,0.113982,0.028372,0.006273,0.022215,0.013647,0.007508,0,0,0,0,0,0
0.116100,0.519526,0.017736,0.059870,0.151539,0.000000,0.042697,0.021787,0.021787,0.000714,0.001698,0.093121,0.141556,0.009614,0.025983,0.029076,0.193737,0.038965,0.060321,0.223667,0.605715,0.029638,0.077099,0.304328,0.074510,0.047324,0.061421,0.111008,0.093042,0.111300,0.147501,0.097290,0.234937,0.131205,0.045429,0.083428,0.057854,0.030435,0,0,0,0,0,0
0.139320,0.532203,0.018381,0.156297,0.206159,0.000645,0.040726,0.013213,0.013213,0.008627,0.016126,0.250427,0.331668,0.114199,0.053009,0.032184,0.139318,0.047845,0.040228,0.146998,0.499558,0.037877,0.057902,0.350031,0.087936,0.092606,0.163174,0.354130,0.192976,0.225404,0.210709,0.102046,0.290453,0.184793,0.087571,0.142359,0.114447,0.055035,0,0,0,0,0,0
0.162540,0.547965,0.113530,0.156055,0.195442,0.095150,0.025234,0.030574,0.030574,0.157306,0.323964,0.428978,0.172550,0.086981,0.013918,0.077847,0.033893,0.024439,0.044931,0.184195,0.116889,0.027856,0.017709,0.285053,0.037639,0.057720,0.278671,0.493756,0.340030,0.299100,0.275328,0.110602,0.326746,0.137398,0.068325,0.088367,0.105401,0.040646,0,0,0,0,0,0
0.185760,0.531894,0.112429,0.063793,0.163141,0.000000,0.056964,0.019909,0.019909,0.331342,0.134022,0.198727,0.002533,0.005264,0.001603,0.110839,0.050713,0.061815,0.061800,0.234630,0.019554,0.016577,0.013717,0.239491,0.031265,0.110144,0.282837,0.320291,0.407578,0.189953,0.183406,0.071225,0.220631,0.098373,0.028403,0.033697,0.045616,0.015470,0,0,0,0,0,0
0.208980,0.524674,0.228286,0.055824,0.116887,0.115857,0.230392,0.331362,0.331362,0.230756,0.017561,0.147594,0.044767,0.001222,0.002130,0.083406,0.165158,0.031974,0.046271,0.160710,0.072214,0.009825,0.030988,0.150984,0.081892,0.188700,0.163838,0.173888,0.200251,0.096294,0.094419,0.040620,0.124100,0.060921,0.014109,0.021258,0.022245,0.008831,1,1,0,1,0,0
