time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.415049,0.052005,0.073789,0.148115,0.000000,0.094260,0.055816,0.055816,0.007165,0.046965,0.132709,0.047720,0.096229,0.035723,0.056563,0.237005,0.244491,0.154744,0.023219,0.076781,0.028903,0.075734,0.164289,0.090726,0.080858,0.144340,0.029108,0.540241,0.250169,0.399763,0.480395,0.165941,0.148470,0.167849,0.069856,0.150219,0.120357,0,0,0,0,0,0
0.023220,0.495721,0.134115,0.060515,0.193632,0.082110,0.355912,0.119708,0.119708,0.002003,0.073243,0.178706,0.026729,0.041263,0.019176,0.036701,0.154527,0.156681,0.169208,0.068020,0.066407,0.097831,0.099937,0.290686,0.166900,0.229520,0.204181,0.059939,0.397402,0.323516,0.517312,0.444953,0.187422,0.124637,0.150293,0.062288,0.087702,0.089260,0,0,0,0,0,0
0.046440,0.574734,0.158848,0.070382,0.176120,0.024734,0.247770,0.232199,0.232199,0.079009,0.003065,0.142988,0.086118,0.093883,0.006048,0.022874,0.068797,0.207847,0.152535,0.083815,0.054214,0.164177,0.141468,0.343661,0.173170,0.305142,0.165466,0.083843,0.094066,0.235988,0.337037,0.196109,0.085942,0.039987,0.036351,0.023076,0.016437,0.016463,0,0,0,0,0,0
0.069660,0.593420,0.081348,0.075569,0.193723,0.000000,0.030156,0.092397,0.092397,0.177104,0.014689,0.086859,0.078073,0.184297,0.005110,0.023506,0.023479,0.202263,0.088923,0.069648,0.073714,0.120289,0.191696,0.653009,0.257569,0.225782,0.169893,0.054840,0.058050,0.132386,0.157166,0.146499,0.046692,0.025956,0.011080,0.014690,0.007616,0.007005,0,0,0,0,0,0
0.092880,0.555686,0.064858,0.044962,0.153780,0.000000,0.198067,0.000731,0.000731,0.118412,0.006351,0.027342,0.030170,0.142865,0.000538,0.023896,0.012242,0.077775,0.039936,0.080692,0.059767,0.088442,0.225538,0.498564,0.182012,0.229021,0.100756,0.059458,0.032854,0.061388,0.162041,0.118961,0.022437,0.032608,0.010380,0.011139,0.006473,0.004902,0,0,0,0,0,0
0.116100,0.571115,0.119554,0.011126,0.125916,0.054695,0.238217,0.152409,0.152409,0.052442,0.002292,0.010459,0.010591,0.026431,0.001551,0.006598,0.006284,0.049285,0.046869,0.195663,0.136130,0.061212,0.301501,0.144417,0.067485,0.324887,0.049921,0.090856,0.027063,0.055687,0.206283,0.193363,0.029853,0.046035,0.010476,0.009147,0.005945,0.004299,0,0,0,0,0,0
0.139320,0.645582,0.081117,0.018931,0.219015,0.000000,0.070084,0.083230,0.083230,0.089240,0.079798,0.029065,0.010214,0.037528,0.011309,0.006539,0.056578,0.142350,0.060372,0.205839,0.132874,0.114267,0.384223,0.518449,0.076443,0.509108,0.116654,0.099367,0.088557,0.150209,0.157887,0.169102,0.036331,0.035671,0.018158,0.012543,0.006664,0.007069,0,0,0,0,0,0
0.162540,0.711861,0.189731,0.077848,0.298932,0.108615,0.269943,0.040005,0.040005,0.293711,0.304991,0.133694,0.044039,0.174203,0.016222,0.021083,0.093882,0.383599,0.032567,0.209799,0.129260,0.114410,0.421791,0.683272,0.116398,0.636990,0.242959,0.094361,0.156317,0.393566,0.207194,0.133035,0.048639,0.037625,0.022885,0.016079,0.006878,0.008542,1,1,0,0,0,0
0.185760,0.802045,0.225433,0.059277,0.344290,0.035702,0.437768,0.050688,0.050688,0.371913,0.216109,0.028048,0.073179,0.161609,0.004898,0.028652,0.048016,0.483218,0.007797,0.155094,0.174235,0.213885,0.474004,0.436697,0.262123,1.000000,0.253225,0.142019,0.101301,0.385410,0.244813,0.147078,0.057056,0.043997,0.014547,0.014375,0.009657,0.008322,0,0,0,0,0,0
0.208980,0.867075,0.176746,0.066740,0.440817,0.000000,0.421827,0.016612,0.016612,0.319151,0.109527,0.044291,0.076354,0.169975,0.015527,0.027555,0.018776,0.463081,0.088796,0.191161,0.241674,0.414126,0.712851,0.873227,0.331690,0.999496,0.248503,0.098788,0.103476,0.384342,0.183200,0.190962,0.039251,0.037512,0.010875,0.014245,0.012174,0.007050,0,0,0,0,0,0
