time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.592149,0.118686,0.333523,0.111449,0.000000,0.011285,0.032948,0.032948,0.230874,0.285375,0.235582,0.147657,0.317240,0.307021,0.660114,0.364019,0.031139,0.119467,0.099368,0.068119,0.072769,0.068256,0.145635,0.233499,0.067776,0.282186,0.035910,0.096203,0.044133,0.022527,0.044310,0.083800,0.078228,0.258342,0.321119,0.267910,0.230773,0,0,0,0,0,0
0.023220,0.765693,0.215270,0.493461,0.171160,0.096584,0.011776,0.091971,0.091971,0.260581,0.620051,1.000000,0.836966,0.159401,0.106672,0.364268,0.171900,0.066122,0.222401,0.175597,0.102027,0.081048,0.147912,0.129671,0.598485,0.035664,0.409151,0.030708,0.112099,0.064836,0.033300,0.058410,0.087046,0.079485,0.273624,0.245521,0.276657,0.191142,1,1,0,1,0,0
0.046440,0.858848,0.344249,0.270761,0.132980,0.128979,0.110658,0.374877,0.374877,0.782762,0.078074,0.614953,0.382353,0.145335,0.120313,0.090852,0.017219,0.055101,0.092294,0.155541,0.102773,0.056778,0.138749,0.067519,0.532972,0.018360,0.289272,0.013801,0.079045,0.030531,0.055097,0.047512,0.045222,0.032962,0.124812,0.103162,0.095052,0.064901,0,0,1,0,0,0
0.069660,0.922330,0.434224,0.063664,0.089394,0.089974,0.225574,0.305757,0.305757,1.000000,0.334030,0.141337,0.006428,0.095722,0.025861,0.048973,0.015858,0.041379,0.074463,0.093579,0.114003,0.032255,0.078800,0.051276,0.308826,0.017075,0.120077,0.049911,0.086340,0.035382,0.085785,0.044615,0.044563,0.014201,0.048364,0.048242,0.030763,0.024646,0,0,0,0,0,0
0.092880,0.958981,0.440877,0.069810,0.066081,0.006653,0.279516,0.311672,0.311672,1.000000,0.301525,0.062793,0.024224,0.142149,0.079252,0.040632,0.009803,0.043244,0.072609,0.065886,0.098107,0.026542,0.028318,0.054294,0.136172,0.008004,0.140745,0.050827,0.066797,0.051007,0.097982,0.027802,0.036381,0.009748,0.026858,0.023028,0.016798,0.012657,0,0,0,0,0,0
0.116100,0.876259,0.566241,0.071831,0.064787,0.125364,0.217932,0.800869,0.800869,1.000000,0.011537,0.026511,0.014081,0.178627,0.096620,0.043316,0.008702,0.026847,0.024712,0.074288,0.088878,0.014474,0.017409,0.049974,0.109742,0.002992,0.221104,0.028280,0.082119,0.032898,0.043038,0.033433,0.015056,0.008332,0.016171,0.009704,0.009562,0.006936,0,0,0,0,0,0
0.139320,0.929560,0.369476,0.085808,0.054321,0.000000,0.443541,0.466716,0.466716,0.469378,0.001028,0.012990,0.058996,0.259999,0.036145,0.060907,0.005381,0.024906,0.020751,0.106586,0.121188,0.005876,0.028448,0.035395,0.048693,0.013812,0.131498,0.019892,0.107341,0.031070,0.037961,0.063158,0.039598,0.021965,0.030471,0.085052,0.065352,0.046493,0,0,0,0,0,0
0.162540,0.868446,0.303382,0.061229,0.050968,0.000000,0.695941,0.275005,0.275005,0.267311,0.003647,0.006152,0.013846,0.209064,0.043377,0.033705,0.009499,0.051261,0.042002,0.126211,0.136649,0.007580,0.020329,0.043676,0.018139,0.040899,0.099831,0.009161,0.086602,0.046811,0.035592,0.084072,0.143645,0.070529,0.152185,0.330929,0.245618,0.209648,0,0,0,0,0,0
0.185760,0.767982,0.497338,0.078845,0.060133,0.193956,0.431849,0.643011,0.643011,0.768439,0.000378,0.001159,0.010631,0.316125,0.032033,0.034275,0.015792,0.074179,0.093720,0.164103,0.148835,0.003294,0.026458,0.073952,0.029331,0.024741,0.146934,0.017544,0.092237,0.038006,0.024243,0.069621,0.081989,0.058656,0.191999,0.231791,0.177193,0.139816,0,0,0,0,1,1
0.208980,0.767336,0.234934,0.091102,0.090608,0.000000,0.093193,0.136097,0.136097,0.804241,0.005041,0.002097,0.010502,0.346506,0.007369,0.089038,0.005803,0.118853,0.063187,0.387453,0.351042,0.002108,0.040719,0.101581,0.034119,0.008985,0.173578,0.019452,0.131401,0.043090,0.045113,0.069825,0.035749,0.045487,0.193763,0.184544,0.179136,0.087732,1,0,0,0,0,0
