frequencyData_00,frequencyData_01,frequencyData_02,frequencyData_03,frequencyData_04,frequencyData_05,frequencyData_06,frequencyData_07,frequencyData_08,frequencyData_09,frequencyData_10,frequencyData_11,frequencyData_12,frequencyData_13,frequencyData_14,frequencyData_15,frequencyData_16,frequencyData_17,frequencyData_18,frequencyData_19,frequencyData_20,frequencyData_21,frequencyData_22,frequencyData_23,frequencyData_24,frequencyData_25,frequencyData_26,frequencyData_27,frequencyData_28,frequencyData_29,frequencyData_30,frequencyData_31,energyAverage,dbgLowRaw,dbgBodyRaw,dbgHighRaw,dbgLowNorm,dbgBodyNorm,dbgHighNorm,dbgLowRise,dbgRatio,dbgRawRatio,dbgSignalActive,dbgHighDominant,dbgLowQualified,dbgRawBassSupport,dbgCandidate,dbgAccepted,dbgPendingScore,dbgFlashStrength,ts_epoch,ts_rel
0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000259,0.000214,0.000305,1,0.875,1,0.5,1.874908,1.423065,0,0,1,1,0,0,0,0.956543,1774288107.4280202,0.00012612342834472656
0,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000488,0.000336,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000534,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000214,0.00032,0.000336,1,1,1,0.5,1.999908,1.464279,0,0,1,1,0,0,0,0.956543,1774288107.5068758,0.07898163795471191
0.000244,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000168,0.000183,0.000259,0.000305,1,1,1,0.5,1.999908,1.346146,0,0,1,1,0,0,0,0.956543,1774288107.580793,0.15289878845214844
0,0.000244,0.000244,0.000336,0.000244,0.000336,0,0,0,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000214,0.000107,0.00029,1,0.636353,1,0.5,1.636292,1.079987,0,0,1,1,0,0,0,0.956543,1774288107.6634445,0.2355504035949707
0,0,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000183,0.000244,0.000305,1,1,1,0.5,1.999908,1.307678,0,0,1,1,0,0,0,0.956543,1774288107.728487,0.30059289932250977
0.000336,0,0.000244,0.000336,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000229,0.00029,0.000305,1,1,1,0.5,1.999908,1.538452,0,0,1,1,0,0,0,0.956543,1774288107.8038466,0.37595248222351074
0.000244,0,0.000336,0.000244,0.000244,0.000336,0.000244,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000214,0.000214,0.00029,1,1,1,0.5,1.999908,1.359985,0,0,1,1,0,0,0,0.956543,1774288107.8738782,0.4459841251373291
0.000336,0,0.000244,0.000534,0.000244,0.000336,0.000336,0,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000259,0.000244,0.00032,1,1,1,0.5,1.999908,1.444443,0,0,1,1,0,0,0,0.956543,1774288107.9356484,0.5077543258666992
0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000534,0.000336,0.000534,0.000244,0.000336,0.000244,0.000336,0.000336,0.000488,0.000336,0.000534,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000534,0.000336,0.000336,0.000336,0.000275,0.000275,0.000412,0.000351,1,1,1,0.5,1.999908,1.758606,0,0,1,1,0,0,0,0.956543,1774288108.0159483,0.5880541801452637
0,0,0.000244,0.000336,0.000534,0.000244,0,0.000244,0,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000214,0.000137,0.00029,1,0.818176,1,0.5,1.8181,1.159988,0,0,1,1,0,0,0,0.956543,1774288108.0908659,0.6629717350006104
0.000244,0.000244,0.000336,0,0.000244,0.000244,0,0,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000214,0.000137,0.000259,1,0.5625,0.89473,0.53334,1.746246,1.260864,0,0,1,1,0,0,0,0.956543,1774288108.1688046,0.740910530090332
0.000244,0,0.000244,0.000244,0.000244,0.000244,0.000244,0,0.000244,0.000244,0,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000183,0.000183,0.000305,0.857132,0.799988,1,0.457138,1.657059,1.153839,0,0,1,1,0,0,0,0.956543,1774288108.23419,0.8062958717346191
0.000244,0.000244,0,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0,0.000244,0.000244,0.000488,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000168,0.000183,0.000259,0.000305,1,1,1,0.538467,1.999908,1.346146,0,0,1,1,0,0,0,0.956543,1774288108.3083496,0.880455493927002
0.000336,0,0,0.000488,0.000244,0.000244,0,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000214,0.000137,0.000259,1,0.818176,1,0.5,1.8181,1.260864,0,0,1,1,0,0,0,0.956543,1774288108.374718,0.9468238353729248
0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.00029,0.000275,0.00032,1,1,1,0.5,1.999908,1.59259,0,0,1,1,0,0,0,0.956543,1774288108.4407814,1.0128872394561768
0.000336,0,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000214,0.000259,0.00032,1,1,1,0.5,1.999908,1.370361,0,0,1,1,0,0,0,0.956543,1774288108.5122743,1.0843801498413086
0.000244,0,0.000336,0.000244,0.000336,0.000336,0,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000229,0.000153,0.00029,1,0.833328,1,0.5,1.833252,1.23999,0,0,1,1,0,0,0,0.956543,1774288108.578491,1.1505968570709229
0,0,0.000336,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000168,0.000107,0.000259,0.000259,0.583328,1,0.849991,0.314102,1.862656,1.304337,0,1,1,1,0,0,0,0.956543,1774288108.6441433,1.2162492275238037
0.000244,0.000534,0.000336,0.000336,0.000488,0.000244,0.000244,0,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000381,0.000214,0.000305,1,1,1,0.5,1.999908,1.730759,0,0,1,1,0,0,0,0.956543,1774288108.710768,1.2828738689422607
0.000488,0,0.000244,0.000336,0.000244,0.000336,0.000244,0,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000488,0.000336,0.000336,0.000336,0.000275,0.000259,0.000214,0.00029,1,1,1,0.5,1.999908,1.479996,0,0,1,1,0,0,0,0.956543,1774288108.8097193,1.3818252086639404
