time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.314160,0.000002,0.000002,0.002556,0.000000,0.000007,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000007,0.000024,0.000083,0.000152,0.000361,0.000728,0.001407,0.002581,0.001364,0.001622,0.003722,0.004222,0.002966,0.004135,0.002808,0.003264,0.001126,0.002855,0.001461,0.000178,0.000122,0.000053,0.000009,0,0,0,0,0,0
0.023220,0.808099,0.000798,0.051018,0.498513,0.000796,0.002915,0.000429,0.000429,0.000102,0.000115,0.000693,0.004551,0.022773,0.049240,0.177831,0.266247,0.402690,0.440878,0.302766,0.389684,0.479104,0.485750,0.372195,0.471587,0.573030,0.551533,0.574416,0.590367,0.497466,0.497177,0.147202,0.356233,0.177879,0.039350,0.013970,0.009877,0.000562,0,0,0,0,0,0
0.046440,0.972710,0.015823,0.529415,0.947170,0.015025,0.021321,0.004124,0.004124,0.018793,0.030752,0.026645,0.101275,0.704045,0.832657,0.982453,0.908645,1.000000,1.000000,0.951949,1.000000,0.966939,0.878305,0.821101,0.972722,0.994089,0.977102,1.000000,0.967687,0.893755,0.834373,0.284005,0.576819,0.284157,0.086886,0.024881,0.021820,0.002156,0,0,0,0,0,0
0.069660,1.000000,0.154882,0.750004,0.141367,0.139059,0.027007,0.012402,0.012402,0.170164,0.552432,0.815316,0.938943,0.902797,0.718860,0.374102,0.234124,0.469780,0.347829,0.339495,0.435403,0.119731,0.105714,0.140996,0.123332,0.102174,0.118823,0.098325,0.080468,0.088699,0.072638,0.041500,0.049700,0.026620,0.019202,0.004700,0.005063,0.001528,0,0,0,1,0,0
0.092880,0.980701,0.436287,0.325622,0.001798,0.281405,0.075515,0.144718,0.144718,0.816484,1.000000,0.768263,0.639989,0.095471,0.029883,0.094506,0.013137,0.128645,0.037850,0.025412,0.011585,0.000943,0.002475,0.000613,0.000321,0.000476,0.000572,0.000172,0.000177,0.000649,0.000303,0.000169,0.000919,0.003209,0.004918,0.000890,0.000983,0.000326,1,1,1,0,1,1
0.116100,0.649325,0.540584,0.027876,0.000243,0.104297,0.248738,0.687358,0.687358,0.922004,0.157461,0.037217,0.045753,0.018680,0.002869,0.034863,0.004360,0.005120,0.000443,0.000342,0.000264,0.000052,0.000098,0.000181,0.000183,0.000336,0.000259,0.000142,0.000094,0.000824,0.000317,0.000447,0.000697,0.001485,0.002003,0.000177,0.000270,0.000135,0,0,0,0,0,0
0.139320,0.370992,0.545737,0.016281,0.007159,0.005153,0.469043,1.000000,1.000000,0.253212,0.006428,0.059593,0.011544,0.004091,0.001002,0.005175,0.005340,0.001112,0.000051,0.001274,0.001415,0.000172,0.004220,0.007156,0.008676,0.019393,0.012040,0.000662,0.002087,0.015764,0.013018,0.012602,0.016355,0.002509,0.007925,0.001437,0.002960,0.001205,0,0,0,0,0,0
0.162540,0.262499,0.367433,0.011986,0.038349,0.000000,1.000000,0.402875,0.402875,0.018269,0.013143,0.045477,0.003709,0.002663,0.004396,0.003683,0.008157,0.001151,0.000213,0.024624,0.025561,0.000639,0.030829,0.044374,0.039229,0.074126,0.084826,0.001582,0.008376,0.073944,0.042152,0.073532,0.052336,0.011799,0.042558,0.016739,0.016225,0.014802,0,0,0,0,0,0
0.185760,0.206768,0.229116,0.012638,0.020654,0.000000,0.835869,0.146783,0.146783,0.001604,0.014539,0.030616,0.001571,0.020117,0.006343,0.004545,0.029223,0.000307,0.000128,0.043309,0.052947,0.000807,0.020066,0.021031,0.012123,0.019291,0.050835,0.000709,0.003351,0.025379,0.010655,0.037058,0.016095,0.010148,0.023021,0.022659,0.014854,0.021068,0,0,0,0,0,0
0.208980,0.183894,0.136322,0.012484,0.002924,0.000000,0.501294,0.086386,0.086386,0.000553,0.006991,0.023329,0.002969,0.032188,0.001621,0.002311,0.031176,0.000094,0.000054,0.017515,0.023232,0.000633,0.001346,0.000454,0.000196,0.000704,0.001766,0.000108,0.000405,0.000396,0.000874,0.001990,0.002455,0.002409,0.002566,0.006963,0.004904,0.005864,0,0,0,0,0,0
0.232200,0.169880,0.070285,0.008303,0.000706,0.000000,0.240277,0.053085,0.053085,0.000763,0.004214,0.012509,0.001705,0.025475,0.000731,0.001096,0.013008,0.000055,0.000034,0.001111,0.001587,0.000169,0.000765,0.000284,0.000393,0.001140,0.000850,0.000055,0.000242,0.001572,0.000780,0.001988,0.001256,0.001137,0.000965,0.001379,0.000946,0.000733,0,0,0,0,0,0
