time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.099378,0.000082,0.001458,0.046000,0.000000,0.000002,0.000019,0.000019,0.000130,0.000239,0.000235,0.000099,0.000952,0.001840,0.004162,0.011153,0.081902,0.013953,0.043181,0.129124,0.097195,0.053125,0.019613,0.028309,0.068625,0.034704,0.013697,0.008085,0.007523,0.046827,0.049341,0.017683,0.019899,0.001185,0.000523,0.000304,0.000125,0,0,0,0,0,0
0.023220,0.125278,0.000097,0.005040,0.103663,0.000016,0.000033,0.000091,0.000091,0.000169,0.000103,0.000750,0.002488,0.001180,0.002169,0.018613,0.012599,0.131987,0.032907,0.119196,0.233810,0.202691,0.093138,0.060915,0.150222,0.129340,0.095231,0.024648,0.029723,0.016915,0.076479,0.092414,0.049878,0.035479,0.001993,0.000969,0.000423,0.000219,0,0,0,0,0,0
0.046440,0.147922,0.000583,0.006264,0.146837,0.000485,0.000049,0.000045,0.000045,0.000415,0.002357,0.005047,0.004601,0.001939,0.000712,0.019022,0.009322,0.071892,0.025500,0.170750,0.260328,0.165844,0.241884,0.150345,0.301837,0.148474,0.111941,0.032889,0.035196,0.019630,0.049305,0.110206,0.084759,0.020877,0.001537,0.000949,0.000282,0.000175,0,0,0,0,0,0
0.069660,0.147696,0.001554,0.003636,0.192451,0.000972,0.000067,0.000127,0.000127,0.001771,0.005678,0.005095,0.001022,0.003765,0.000963,0.007335,0.004309,0.078402,0.009910,0.074487,0.182978,0.257069,0.497128,0.132005,0.510856,0.186988,0.058791,0.046004,0.033665,0.019025,0.040528,0.118158,0.069080,0.014202,0.000917,0.000555,0.000148,0.000126,0,0,0,0,0,0
0.092880,0.159797,0.000654,0.001665,0.272845,0.000000,0.000030,0.000256,0.000256,0.001862,0.000866,0.000800,0.000122,0.004355,0.000498,0.002551,0.007735,0.053587,0.002005,0.039965,0.217264,0.285179,0.785699,0.056795,1.000000,0.176209,0.074928,0.085123,0.032243,0.015010,0.038566,0.113815,0.049332,0.024575,0.001283,0.000676,0.000214,0.000153,0,0,0,0,0,0
0.116100,0.161371,0.000182,0.005889,0.261658,0.000000,0.000009,0.000202,0.000202,0.000296,0.000203,0.000081,0.000493,0.006550,0.003234,0.019088,0.015433,0.131557,0.019058,0.177835,0.478914,0.076651,0.608270,0.076020,1.000000,0.167992,0.064891,0.075546,0.044986,0.023313,0.033829,0.120062,0.044025,0.036050,0.002120,0.001190,0.000422,0.000170,0,0,0,0,0,0
0.139320,0.161288,0.000193,0.008293,0.227581,0.000011,0.000028,0.000133,0.000133,0.000076,0.000597,0.000960,0.002662,0.005484,0.002846,0.029515,0.005561,0.179115,0.031582,0.207982,0.527387,0.155311,0.237219,0.091944,0.905620,0.145462,0.113805,0.029459,0.051722,0.017881,0.037102,0.126277,0.053816,0.027081,0.002071,0.001045,0.000400,0.000174,0,0,0,0,0,0
0.162540,0.158188,0.000814,0.009117,0.188298,0.000621,0.000049,0.000022,0.000022,0.000703,0.003271,0.006720,0.005966,0.007315,0.000396,0.025190,0.008875,0.082092,0.018555,0.068029,0.331609,0.425461,0.104127,0.105471,0.589512,0.119159,0.105406,0.050397,0.034329,0.017513,0.048042,0.131394,0.091404,0.023377,0.001354,0.000943,0.000300,0.000164,0,0,0,0,0,0
0.185760,0.333126,0.001180,0.004356,0.168022,0.000367,0.000035,0.000106,0.000106,0.001878,0.003776,0.002695,0.000827,0.003668,0.002488,0.012103,0.016497,0.102597,0.014006,0.057649,0.179822,0.339782,0.123708,0.262290,0.474432,0.095181,0.067339,0.092826,0.024429,0.020414,0.043822,0.109334,0.127210,0.037093,0.001809,0.000928,0.000324,0.000175,0,0,0,0,0,0
0.208980,0.401788,0.000401,0.092547,0.283238,0.000000,0.000005,0.000184,0.000184,0.000844,0.000791,0.000204,0.001191,0.020098,0.059781,0.381461,0.667868,1.000000,0.192845,0.504719,0.237655,0.401576,0.311081,0.626238,0.822955,0.163651,0.074906,0.067685,0.064818,0.061817,0.125635,0.116124,0.100067,0.040059,0.010078,0.004917,0.002190,0.000731,0,0,0,0,0,0
