time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.164681,0.001045,0.018857,0.027644,0.000000,0.000407,0.000352,0.000352,0.000960,0.003154,0.004867,0.001120,0.009701,0.067057,0.011537,0.011046,0.021596,0.037618,0.097711,0.092527,0.020550,0.005547,0.029581,0.017546,0.052947,0.018900,0.009119,0.014947,0.014776,0.007962,0.019337,0.014563,0.027499,0.009384,0.025362,0.024585,0.017619,0,0,0,0,0,0
0.023220,0.186225,0.000457,0.031702,0.032159,0.000000,0.000175,0.000068,0.000068,0.000441,0.001534,0.016773,0.015936,0.011399,0.103657,0.010746,0.029451,0.076402,0.109488,0.168469,0.051500,0.060978,0.004014,0.073962,0.045082,0.031166,0.012396,0.008012,0.018648,0.015830,0.016494,0.024957,0.024400,0.034957,0.011993,0.039204,0.037864,0.022084,0,0,0,0,0,0
0.046440,0.203958,0.000732,0.024109,0.013303,0.000274,0.000007,0.000020,0.000020,0.000093,0.003520,0.012972,0.025260,0.014437,0.062065,0.005812,0.033560,0.020272,0.084981,0.048984,0.012946,0.020192,0.001992,0.032389,0.022859,0.005996,0.007601,0.006748,0.015144,0.007162,0.016170,0.020794,0.020058,0.024884,0.009539,0.030220,0.021830,0.011506,0,0,0,0,0,0
0.069660,0.209350,0.001810,0.015948,0.012834,0.001078,0.000004,0.000003,0.000003,0.000454,0.008587,0.004191,0.009424,0.018729,0.036313,0.011084,0.058646,0.010496,0.041245,0.011390,0.026554,0.012236,0.002144,0.006504,0.013135,0.006413,0.015727,0.008854,0.027955,0.008814,0.013947,0.021722,0.020806,0.039714,0.011725,0.037052,0.022629,0.034273,0,0,0,0,0,0
0.092880,0.280304,0.001493,0.024409,0.043695,0.000000,0.000147,0.000034,0.000034,0.000811,0.006438,0.009106,0.014312,0.019703,0.052740,0.026183,0.025551,0.019969,0.164536,0.048123,0.042636,0.062019,0.002028,0.068246,0.080191,0.014701,0.035190,0.018150,0.069871,0.043918,0.048258,0.044929,0.060364,0.104323,0.055679,0.131654,0.086768,0.119531,0,0,0,0,0,0
0.116100,0.327248,0.001957,0.071638,0.135565,0.000465,0.000271,0.000026,0.000026,0.001206,0.008258,0.007370,0.029241,0.036128,0.221464,0.063987,0.036659,0.014100,0.113634,0.132763,0.134471,0.084381,0.005512,0.331576,0.365297,0.130573,0.078631,0.060206,0.082192,0.082814,0.085622,0.076872,0.125412,0.254228,0.169573,0.292121,0.199419,0.196815,0,0,0,0,0,0
0.139320,0.400839,0.003815,0.061414,0.184137,0.001858,0.000279,0.000098,0.000098,0.002002,0.016598,0.009258,0.018793,0.026328,0.181524,0.071167,0.156371,0.018365,0.069289,0.292553,0.177289,0.121926,0.011468,0.260420,0.541654,0.367206,0.087151,0.083544,0.112573,0.078142,0.084766,0.107910,0.169286,0.513684,0.185506,0.438878,0.545436,0.313372,0,0,0,0,0,0
0.162540,0.427955,0.003153,0.048012,0.156024,0.000000,0.000022,0.000041,0.000041,0.000927,0.014735,0.010990,0.013990,0.000993,0.120891,0.093198,0.367701,0.016856,0.307841,0.159055,0.110330,0.138967,0.022279,0.177397,0.477650,0.393012,0.071937,0.056883,0.067384,0.044402,0.056704,0.100804,0.153101,0.423809,0.089942,0.302102,0.487915,0.246738,0,0,0,0,0,0
0.185760,0.410060,0.002232,0.059502,0.107781,0.000000,0.000014,0.000014,0.000014,0.000913,0.010207,0.002461,0.014622,0.008243,0.154067,0.118118,0.645091,0.017786,0.290353,0.056091,0.094276,0.088368,0.044127,0.088484,0.436305,0.171794,0.050167,0.058810,0.025643,0.019834,0.042188,0.051087,0.074340,0.120259,0.038398,0.073552,0.103816,0.072684,0,0,0,0,0,0
0.208980,0.408225,0.001278,0.049806,0.079503,0.000000,0.000011,0.000001,0.000001,0.000657,0.005722,0.007892,0.016566,0.017106,0.187567,0.019899,0.617621,0.004544,0.104631,0.022995,0.078678,0.095715,0.030629,0.066001,0.325117,0.050779,0.018723,0.083253,0.033068,0.013071,0.013770,0.026266,0.037482,0.034994,0.021632,0.027907,0.024017,0.020556,0,0,0,0,0,0
0.232200,0.363661,0.000720,0.067734,0.060745,0.000000,0.000005,0.000001,0.000001,0.000426,0.003165,0.001120,0.022649,0.022553,0.277262,0.015086,0.428361,0.008989,0.373489,0.017400,0.042169,0.084297,0.006468,0.041459,0.239677,0.025946,0.015942,0.089749,0.049942,0.011797,0.008710,0.018509,0.022879,0.021112,0.014835,0.018338,0.018363,0.017810,0,0,0,0,0,0
0.255420,0.335313,0.000308,0.087464,0.057393,0.000000,0.000005,0.000001,0.000001,0.000143,0.001388,0.005721,0.022042,0.026844,0.364713,0.017998,0.164152,0.004650,0.727266,0.013764,0.037342,0.072700,0.004718,0.125220,0.186916,0.027818,0.022031,0.057175,0.026267,0.013746,0.009177,0.015389,0.015070,0.020875,0.011828,0.016532,0.024838,0.020753,0,0,0,0,0,0
0.278639,0.326472,0.000321,0.080482,0.056719,0.000013,0.000000,0.000002,0.000002,0.000032,0.001565,0.001996,0.023380,0.021933,0.338808,0.016292,0.103316,0.006353,0.612854,0.019360,0.027870,0.053273,0.007960,0.204440,0.136066,0.021885,0.032319,0.045200,0.024082,0.014098,0.016232,0.028413,0.014140,0.025207,0.018049,0.034042,0.036479,0.023832,0,0,0,0,0,0
0.301859,0.358903,0.000532,0.051653,0.068133,0.000212,0.000012,0.000022,0.000022,0.000351,0.002254,0.009460,0.036373,0.010130,0.188161,0.014143,0.137757,0.010270,0.395251,0.076895,0.085660,0.058386,0.008080,0.234534,0.165128,0.014457,0.028893,0.035232,0.019979,0.030980,0.019220,0.026999,0.011035,0.041200,0.031291,0.042385,0.035763,0.024509,0,0,0,0,0,0
0.325079,0.416410,0.001541,0.020278,0.086787,0.001008,0.000284,0.000278,0.000278,0.001861,0.005004,0.005355,0.040451,0.005613,0.032611,0.017362,0.139221,0.007354,1.000000,0.217105,0.303454,0.047854,0.008751,0.107199,0.281645,0.017022,0.024619,0.037491,0.014954,0.024882,0.012536,0.012772,0.009204,0.029689,0.021058,0.018236,0.016430,0.011774,0,0,0,0,0,0
0.348299,0.424135,0.001223,0.020767,0.088907,0.000000,0.000263,0.000142,0.000142,0.000716,0.004852,0.010719,0.031316,0.001764,0.029365,0.030673,0.226325,0.004518,1.000000,0.347849,0.387466,0.038759,0.007374,0.057820,0.268952,0.025612,0.030644,0.046572,0.016738,0.009130,0.015488,0.007017,0.010042,0.013882,0.010631,0.009452,0.012393,0.017131,0,0,0,0,0,0
0.371519,0.414997,0.000385,0.028097,0.054397,0.000000,0.000021,0.000005,0.000005,0.000070,0.001823,0.002817,0.027358,0.002571,0.050812,0.056926,0.148579,0.040620,1.000000,0.210575,0.188902,0.034278,0.004391,0.044521,0.151595,0.025325,0.037612,0.030795,0.013657,0.012891,0.013319,0.007721,0.007328,0.010459,0.011183,0.008490,0.014475,0.026245,0,0,0,0,0,0
0.394739,0.383131,0.000263,0.021598,0.031344,0.000000,0.000001,0.000013,0.000013,0.000073,0.001218,0.011801,0.031350,0.004289,0.032172,0.028376,0.094223,0.089852,0.968790,0.039845,0.079176,0.019723,0.016552,0.013717,0.083879,0.019725,0.028093,0.020268,0.019296,0.013013,0.007131,0.011004,0.005457,0.010942,0.011768,0.011570,0.014778,0.026098,0,0,0,0,0,0
0.417959,0.309140,0.000201,0.049775,0.048099,0.000000,0.000012,0.000001,0.000001,0.000151,0.000841,0.001120,0.025992,0.014199,0.186025,0.021538,0.105252,0.033984,0.600933,0.069936,0.124416,0.116425,0.033459,0.039317,0.048938,0.012812,0.021384,0.029264,0.039905,0.015071,0.009887,0.022650,0.008063,0.023441,0.015270,0.019154,0.021110,0.028211,0,0,0,0,0,0
0.441179,0.330513,0.000133,0.094343,0.063699,0.000000,0.000101,0.000040,0.000040,0.000258,0.000225,0.003036,0.024662,0.020935,0.408274,0.014810,0.060819,0.013325,0.552544,0.067573,0.223219,0.176098,0.042653,0.050652,0.033150,0.016701,0.028795,0.029145,0.025920,0.010652,0.027991,0.024924,0.009820,0.023737,0.012925,0.015941,0.014968,0.015711,0,0,0,0,0,0
0.464399,0.370679,0.000156,0.133838,0.074883,0.000024,0.000089,0.000046,0.000046,0.000115,0.000487,0.009527,0.028581,0.023488,0.583514,0.024082,0.080164,0.008388,0.364893,0.069400,0.201834,0.058063,0.242405,0.035104,0.064587,0.016552,0.055397,0.049728,0.011742,0.013417,0.042858,0.022965,0.016633,0.034189,0.013616,0.020157,0.021577,0.020360,0,0,0,0,0,0
0.487619,0.396171,0.000051,0.130590,0.124799,0.000000,0.000109,0.000009,0.000009,0.000050,0.000080,0.005954,0.015625,0.043059,0.533372,0.054937,0.321135,0.007920,0.303516,0.045533,0.100470,0.031884,0.596132,0.107649,0.093116,0.024985,0.054010,0.210076,0.016026,0.013642,0.029258,0.026261,0.022219,0.045562,0.017318,0.026554,0.021598,0.020413,0,0,0,0,0,0
0.510839,0.440063,0.000082,0.079952,0.142124,0.000030,0.000084,0.000026,0.000026,0.000084,0.000188,0.003901,0.007309,0.008153,0.351785,0.028614,0.483694,0.007324,0.357870,0.008987,0.114942,0.012398,0.628246,0.174813,0.101253,0.031184,0.040395,0.285502,0.025310,0.007193,0.025320,0.016163,0.015316,0.038817,0.018437,0.030793,0.025419,0.016362,0,0,0,0,0,0
0.534059,0.438926,0.000112,0.082243,0.156384,0.000031,0.000003,0.000022,0.000022,0.000011,0.000503,0.002597,0.015277,0.007992,0.344916,0.040431,0.423763,0.011841,0.480264,0.033791,0.131659,0.015553,0.568637,0.372499,0.107468,0.041832,0.072429,0.194385,0.035360,0.024021,0.043849,0.052996,0.041550,0.111115,0.052175,0.214326,0.215984,0.106949,0,0,0,0,0,0
0.557279,0.432979,0.001062,0.072173,0.187258,0.000950,0.000008,0.000010,0.000010,0.000512,0.004772,0.015071,0.011872,0.018830,0.281599,0.033491,0.216068,0.034751,0.587516,0.060416,0.169314,0.037557,0.615898,0.494423,0.144514,0.050662,0.122399,0.158216,0.031952,0.047644,0.095699,0.094777,0.080326,0.168536,0.109413,0.358492,0.282457,0.116512,0,0,0,0,0,0
