time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.519033,0.087181,0.013439,0.019185,0.000000,0.183818,0.101028,0.101028,0.031583,0.018447,0.011379,0.004693,0.014717,0.024506,0.011900,0.006202,0.016211,0.024162,0.015247,0.004584,0.025254,0.002960,0.002329,0.032220,0.018557,0.004891,0.018085,0.023015,0.059957,0.085475,0.033710,0.005997,0.008692,0.001617,0.002249,0.004043,0.004191,0,0,0,0,0,0
0.023220,0.580861,0.159822,0.004577,0.029928,0.072641,0.489622,0.149246,0.149246,0.005460,0.005535,0.003563,0.000981,0.004748,0.010597,0.002995,0.002566,0.006060,0.081590,0.021927,0.002696,0.035493,0.002615,0.002235,0.039628,0.018561,0.009483,0.029585,0.030725,0.128259,0.128738,0.041157,0.009496,0.015493,0.005517,0.029327,0.269221,0.272022,0,0,1,1,1,0
0.046440,0.608887,0.108300,0.001191,0.039590,0.000000,0.392264,0.073760,0.073760,0.001683,0.000030,0.000028,0.000779,0.000473,0.002454,0.002223,0.001070,0.000433,0.098425,0.015087,0.000837,0.029431,0.005262,0.001382,0.040610,0.011696,0.019576,0.027417,0.028588,0.231100,0.151553,0.057955,0.011391,0.020774,0.008795,0.057512,0.470340,0.459712,0,0,0,0,0,0
0.069660,0.489385,0.056438,0.001564,0.040652,0.000000,0.213191,0.034277,0.034277,0.000297,0.000145,0.000069,0.000255,0.000627,0.002952,0.003914,0.000899,0.000384,0.067321,0.010173,0.000731,0.018818,0.008208,0.001467,0.019780,0.016842,0.024198,0.027874,0.035773,0.252826,0.135075,0.057740,0.005589,0.005615,0.001590,0.008994,0.061245,0.052023,0,0,0,0,0,0
0.092880,0.356090,0.027256,0.000751,0.032845,0.000000,0.107083,0.014433,0.014433,0.000289,0.000043,0.000032,0.000148,0.000329,0.002341,0.000906,0.000338,0.001807,0.043114,0.010527,0.000321,0.013331,0.007338,0.002343,0.035898,0.021078,0.021081,0.026173,0.043304,0.157583,0.121322,0.056093,0.004672,0.002655,0.000354,0.000602,0.002813,0.002006,0,0,0,0,0,0
0.116100,0.268921,0.013853,0.000594,0.035303,0.000000,0.055091,0.007005,0.007005,0.000089,0.000077,0.000110,0.000293,0.000221,0.002011,0.000332,0.000820,0.001325,0.036034,0.012113,0.000597,0.015022,0.007070,0.002207,0.031501,0.023082,0.007223,0.022855,0.027750,0.215723,0.107014,0.058245,0.005202,0.003201,0.001432,0.000736,0.002992,0.001817,0,0,0,0,0,0
0.139320,0.262249,0.007627,0.000991,0.053136,0.000000,0.031400,0.003279,0.003279,0.000168,0.000008,0.000057,0.000194,0.000262,0.003055,0.001389,0.003585,0.001104,0.038895,0.021728,0.004467,0.014232,0.011876,0.008891,0.049334,0.014103,0.014448,0.039317,0.039580,0.335112,0.326472,0.155220,0.102777,0.205050,0.270628,0.171159,0.337412,0.385203,0,0,0,0,0,0
0.162540,0.252428,0.005537,0.002396,0.219595,0.000000,0.020064,0.003751,0.003751,0.000114,0.000005,0.000004,0.000087,0.000274,0.004691,0.006927,0.006983,0.001464,0.058062,0.036597,0.053832,0.192534,0.269144,0.273110,0.185945,0.088656,0.075190,0.088455,0.067296,0.901791,0.947084,0.467176,0.606051,0.796911,0.804857,0.917513,0.965903,1.000000,0,0,0,0,0,0
0.185760,0.242874,0.002893,0.003101,0.291807,0.000000,0.009524,0.002404,0.002404,0.000131,0.000005,0.000003,0.000121,0.000140,0.005650,0.009594,0.002635,0.000859,0.035033,0.045260,0.113413,0.424381,0.587137,0.514213,0.203653,0.143685,0.085190,0.123247,0.046675,0.676471,0.689838,0.471645,0.667976,0.553763,0.450703,0.818627,0.588162,0.635566,0,0,0,0,0,0
0.208980,0.219348,0.000657,0.004051,0.106971,0.000000,0.002409,0.000419,0.000419,0.000031,0.000007,0.000001,0.000212,0.000303,0.005042,0.014696,0.001664,0.001015,0.025894,0.058474,0.029070,0.101938,0.141872,0.108475,0.080759,0.038534,0.024631,0.102122,0.027553,0.414760,0.263337,0.294181,0.307186,0.174932,0.180075,0.278334,0.238029,0.231264,0,0,0,0,0,0
0.232200,0.154922,0.000110,0.002812,0.054345,0.000000,0.000397,0.000059,0.000059,0.000011,0.000022,0.000057,0.000337,0.000245,0.006864,0.006554,0.001267,0.001188,0.037557,0.055124,0.004137,0.006406,0.012471,0.010441,0.043430,0.021682,0.020233,0.067840,0.025497,0.331317,0.167190,0.168309,0.177803,0.095571,0.145448,0.135655,0.100599,0.079333,0,0,0,0,0,0
0.255420,0.122511,0.000016,0.001454,0.050242,0.000000,0.000056,0.000006,0.000006,0.000010,0.000003,0.000012,0.000208,0.000196,0.004170,0.002685,0.000828,0.000882,0.046337,0.059656,0.005835,0.016164,0.010122,0.050255,0.035456,0.013259,0.068072,0.032032,0.031274,0.239948,0.124688,0.121868,0.139521,0.066838,0.088710,0.121991,0.207803,0.175499,0,0,0,0,0,0
0.278639,0.110286,0.000004,0.000904,0.043042,0.000000,0.000008,0.000001,0.000001,0.000006,0.000006,0.000004,0.000064,0.000220,0.002855,0.001377,0.000476,0.003866,0.050614,0.029969,0.003165,0.025216,0.006133,0.078028,0.041492,0.016087,0.055365,0.036243,0.040038,0.128655,0.162882,0.089265,0.105213,0.070402,0.048087,0.166242,0.548043,0.522321,0,0,0,0,0,0
0.301859,0.103985,0.000001,0.000441,0.032247,0.000000,0.000000,0.000001,0.000001,0.000003,0.000001,0.000009,0.000043,0.000166,0.001322,0.000666,0.000831,0.003870,0.052254,0.009426,0.003973,0.020722,0.006332,0.019785,0.055531,0.018633,0.013946,0.035766,0.029945,0.117836,0.156059,0.095910,0.058400,0.064504,0.026411,0.060041,0.163085,0.167269,0,0,0,0,0,0
0.325079,0.078745,0.000000,0.000790,0.027182,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000036,0.000025,0.001178,0.002712,0.001055,0.003482,0.054673,0.007817,0.001619,0.024179,0.006817,0.015381,0.048184,0.020772,0.015918,0.017058,0.027475,0.094423,0.136576,0.086035,0.032815,0.043533,0.016297,0.021470,0.018539,0.028127,0,0,0,0,0,0
0.348299,0.084832,0.000004,0.001384,0.034956,0.000004,0.000000,0.000001,0.000001,0.000007,0.000011,0.000026,0.000020,0.000035,0.001462,0.005375,0.000827,0.004714,0.060265,0.007079,0.001559,0.041127,0.009552,0.012268,0.058840,0.037169,0.013885,0.009309,0.032669,0.133183,0.077186,0.069591,0.023491,0.037482,0.008856,0.013280,0.011939,0.011252,0,0,0,0,0,0
0.371519,0.404976,0.000597,0.023393,0.082318,0.000593,0.000025,0.000039,0.000039,0.000329,0.002551,0.006973,0.015557,0.034925,0.031156,0.028355,0.043725,0.105030,0.065937,0.006290,0.109676,0.164466,0.081364,0.016491,0.105413,0.066409,0.020013,0.020514,0.043916,0.194915,0.125226,0.088412,0.019135,0.025438,0.005685,0.019160,0.077869,0.128036,0,0,0,0,0,0
0.394739,0.640954,0.043323,0.639355,0.353729,0.042726,0.003484,0.013520,0.013520,0.049351,0.136742,0.413647,0.583766,0.784312,0.872928,0.542121,0.249395,0.954479,0.184427,0.029993,0.971774,1.000000,0.469043,0.055413,0.325508,0.161422,0.088353,0.061287,0.103149,0.301344,0.148700,0.114614,0.031294,0.034131,0.011495,0.066681,0.408738,0.610012,0,0,0,0,0,0
0.417959,0.814679,0.369563,0.765388,0.168032,0.326240,0.012979,0.163069,0.163069,0.730474,0.778225,1.000000,0.902095,0.640899,0.703845,0.580100,0.177798,0.504798,0.145383,0.024534,0.487645,0.493522,0.183533,0.020909,0.158238,0.062571,0.034149,0.026122,0.054581,0.159049,0.093702,0.059149,0.010962,0.014295,0.006659,0.030695,0.182019,0.240897,1,1,0,1,1,1
0.441179,0.975939,0.526597,0.111333,0.023219,0.157034,0.190129,0.724751,0.724751,0.838759,0.154594,0.173005,0.159508,0.112226,0.028575,0.083353,0.027912,0.007976,0.041094,0.011382,0.003835,0.005028,0.005289,0.004422,0.028181,0.018729,0.003443,0.010688,0.023956,0.128615,0.094187,0.049213,0.003497,0.004098,0.002098,0.003446,0.004784,0.007710,0,0,1,0,0,0
0.464399,0.991501,0.583569,0.026261,0.022528,0.056972,0.828767,0.960632,0.960632,0.089671,0.078143,0.015853,0.028025,0.062670,0.008361,0.016394,0.003224,0.008254,0.035937,0.015993,0.001218,0.005854,0.004062,0.004850,0.025024,0.019952,0.002877,0.012628,0.023298,0.125515,0.132964,0.077708,0.002746,0.002320,0.000980,0.001326,0.001224,0.001809,0,0,0,0,0,0
0.487619,0.877812,0.442670,0.009420,0.019614,0.000000,0.932384,0.616340,0.616340,0.045319,0.002966,0.003754,0.011467,0.012292,0.014468,0.005118,0.003096,0.004298,0.046886,0.017806,0.000335,0.008376,0.003405,0.002946,0.034868,0.016575,0.002317,0.012261,0.018903,0.096159,0.088109,0.067831,0.003819,0.006384,0.001621,0.020915,0.093272,0.055251,0,0,0,0,0,0
0.510839,0.780042,0.150832,0.002789,0.021461,0.000000,0.322012,0.193243,0.193243,0.045506,0.000156,0.000189,0.001111,0.001474,0.006059,0.005113,0.002028,0.001690,0.047528,0.020564,0.000480,0.013883,0.005329,0.002619,0.025819,0.014991,0.003521,0.009656,0.020395,0.117917,0.115303,0.049590,0.007996,0.032959,0.007987,0.123618,0.657700,0.445829,0,0,0,0,0,0
0.534059,0.675842,0.062115,0.002776,0.029004,0.000000,0.122730,0.068225,0.068225,0.050506,0.000888,0.000573,0.000530,0.001692,0.008781,0.002303,0.001489,0.003223,0.052740,0.025981,0.002313,0.039901,0.020829,0.003985,0.033743,0.013062,0.005597,0.010096,0.030044,0.130467,0.132143,0.041513,0.005402,0.015187,0.003967,0.051202,0.315003,0.241907,0,0,0,0,0,0
0.557279,0.581655,0.210683,0.002422,0.035718,0.148568,0.401617,0.306152,0.306152,0.038786,0.000704,0.000030,0.001456,0.002103,0.006769,0.001753,0.003169,0.003717,0.057186,0.041267,0.003291,0.046507,0.036583,0.010448,0.046866,0.011463,0.004799,0.009835,0.032586,0.154806,0.115418,0.062283,0.004287,0.001353,0.000362,0.001030,0.005725,0.005799,0,0,0,0,0,0
0.580499,0.583232,0.228819,0.002757,0.030223,0.018136,0.325048,0.385064,0.385064,0.048886,0.000032,0.000815,0.001155,0.003265,0.005496,0.003051,0.001051,0.003781,0.053671,0.048231,0.001545,0.021991,0.019272,0.008305,0.032928,0.013687,0.005282,0.014826,0.023015,0.161377,0.128558,0.055612,0.004833,0.001782,0.000289,0.000331,0.000841,0.001116,0,0,0,0,0,0
0.603719,0.572205,0.125062,0.003610,0.032286,0.000000,0.057620,0.257106,0.257106,0.053427,0.000050,0.000374,0.000238,0.002899,0.011303,0.003236,0.000219,0.004887,0.035911,0.063820,0.002015,0.014159,0.021500,0.005237,0.036947,0.013045,0.009647,0.039559,0.028969,0.151787,0.120773,0.097634,0.032999,0.051133,0.047079,0.016504,0.065051,0.048638,0,0,0,0,0,0
0.626939,0.546955,0.125392,0.002247,0.108428,0.000330,0.072790,0.249238,0.249238,0.055362,0.000332,0.000443,0.000957,0.001672,0.005005,0.003159,0.000311,0.006724,0.026277,0.030987,0.006507,0.011039,0.014151,0.005097,0.070824,0.015770,0.048578,0.127696,0.126434,0.658189,0.744459,0.501641,0.452981,0.683767,0.541692,0.401753,0.913872,0.582163,0,0,0,0,0,0
0.650159,0.545992,0.187138,0.003017,0.200127,0.061746,0.200760,0.339594,0.339594,0.055685,0.000056,0.000409,0.000869,0.002146,0.009813,0.001846,0.000433,0.004191,0.024354,0.033824,0.009496,0.020852,0.009664,0.005395,0.136491,0.032179,0.189489,0.484061,0.240864,0.872777,1.000000,0.931984,0.902893,1.000000,0.786419,0.851914,1.000000,0.694980,1,1,0,0,0,0
0.673379,0.575262,0.180370,0.002337,0.271489,0.000000,0.158654,0.343268,0.343268,0.056473,0.000189,0.000256,0.000191,0.002171,0.006199,0.002868,0.000480,0.003666,0.023733,0.042935,0.007460,0.025820,0.009467,0.003605,0.080343,0.025114,0.679057,0.628554,0.632213,0.623257,0.457277,0.455581,0.719200,0.723578,0.370728,0.487430,0.373541,0.374272,0,0,0,0,0,0
0.696599,0.571751,0.150449,0.005550,0.317512,0.000000,0.099683,0.298933,0.298933,0.054363,0.000334,0.000684,0.000468,0.001341,0.022934,0.002323,0.000833,0.004627,0.024717,0.047870,0.002892,0.016788,0.011389,0.003626,0.057474,0.020684,0.762531,0.804360,1.000000,0.495380,0.384380,0.260280,0.637078,0.900804,0.197158,0.198443,0.157775,0.141772,0,0,0,0,0,0
0.719819,0.532581,0.150498,0.005438,0.244017,0.000049,0.114855,0.291550,0.291550,0.054503,0.000032,0.000325,0.001346,0.005073,0.016587,0.003858,0.000726,0.004045,0.019163,0.034645,0.002227,0.022216,0.028117,0.004776,0.075659,0.024982,0.409167,0.942442,0.550775,0.379811,0.369157,0.341544,0.497178,0.711795,0.136279,0.090582,0.093498,0.047039,0,0,0,0,0,0
