time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.072894,0.000012,0.000501,0.037990,0.000000,0.000020,0.000012,0.000012,0.000006,0.000011,0.000127,0.000094,0.001349,0.000700,0.000238,0.004066,0.006732,0.024017,0.018211,0.017431,0.012564,0.063825,0.060767,0.109246,0.020364,0.047230,0.015165,0.012124,0.021185,0.034485,0.030969,0.010233,0.000933,0.000421,0.000163,0.000156,0.000134,0,0,0,0,0,0
0.023220,0.086748,0.000085,0.001581,0.075581,0.000073,0.000153,0.000026,0.000026,0.000053,0.000168,0.000551,0.000417,0.002864,0.002472,0.001601,0.007487,0.028422,0.085591,0.028918,0.034287,0.008079,0.057754,0.148576,0.231783,0.028394,0.109721,0.031604,0.043290,0.062326,0.070483,0.031799,0.008662,0.000869,0.000423,0.000131,0.000113,0.000056,0,0,0,0,0,0
0.046440,0.102659,0.000126,0.000574,0.054636,0.000040,0.000237,0.000105,0.000105,0.000052,0.000128,0.000088,0.000181,0.001009,0.000772,0.000821,0.005437,0.027517,0.138530,0.045273,0.029709,0.002372,0.074572,0.183878,0.100612,0.008188,0.052430,0.033001,0.031977,0.029619,0.024837,0.004676,0.000550,0.000101,0.000104,0.000030,0.000020,0.000007,0,0,0,0,0,0
0.069660,0.103874,0.000030,0.000036,0.060761,0.000000,0.000077,0.000027,0.000027,0.000003,0.000014,0.000027,0.000009,0.000124,0.000004,0.000015,0.004377,0.019710,0.191000,0.034198,0.018535,0.001656,0.207161,0.218515,0.081358,0.001304,0.048593,0.018420,0.008569,0.003501,0.002030,0.000573,0.000049,0.000012,0.000011,0.000004,0.000002,0.000001,0,0,0,0,0,0
0.092880,0.105431,0.000008,0.000006,0.071772,0.000000,0.000011,0.000010,0.000010,0.000003,0.000004,0.000014,0.000002,0.000004,0.000001,0.000008,0.005143,0.028964,0.188850,0.019812,0.021214,0.003046,0.301967,0.203748,0.128817,0.001138,0.048155,0.003533,0.002588,0.003517,0.001153,0.000433,0.000065,0.000011,0.000009,0.000003,0.000002,0.000001,0,0,0,0,0,0
0.116100,0.109798,0.000006,0.000022,0.070752,0.000000,0.000000,0.000003,0.000003,0.000005,0.000019,0.000074,0.000008,0.000008,0.000005,0.000016,0.004121,0.023921,0.166317,0.022444,0.026576,0.003584,0.323513,0.154766,0.166922,0.001819,0.020005,0.003731,0.001245,0.005363,0.001493,0.000542,0.000065,0.000013,0.000007,0.000003,0.000001,0.000002,0,0,0,0,0,0
0.139320,0.112101,0.000012,0.000058,0.078372,0.000006,0.000001,0.000002,0.000002,0.000005,0.000051,0.000178,0.000008,0.000029,0.000059,0.000018,0.002933,0.020040,0.167757,0.022101,0.036153,0.003580,0.336390,0.128015,0.224582,0.002388,0.040353,0.005092,0.001772,0.005396,0.001730,0.000675,0.000047,0.000015,0.000010,0.000004,0.000001,0.000002,0,0,0,0,0,0
0.162540,0.109511,0.000012,0.000127,0.085133,0.000000,0.000000,0.000004,0.000004,0.000024,0.000026,0.000290,0.000027,0.000120,0.000170,0.000028,0.002883,0.026785,0.148783,0.019795,0.029501,0.007206,0.403835,0.090251,0.263680,0.009881,0.032944,0.004933,0.003531,0.005571,0.004846,0.005891,0.003749,0.000883,0.000216,0.000025,0.000045,0.000009,0,0,0,0,0,0
0.185760,0.106787,0.000052,0.000617,0.087354,0.000041,0.000050,0.000043,0.000043,0.000043,0.000084,0.000553,0.000327,0.000879,0.001100,0.000228,0.002055,0.017790,0.090971,0.031370,0.022796,0.006415,0.383511,0.118428,0.187435,0.058640,0.025396,0.026857,0.012903,0.031161,0.039169,0.057609,0.026930,0.006834,0.002306,0.000344,0.000307,0.000056,0,0,0,0,0,0
0.208980,0.109903,0.000314,0.000812,0.068999,0.000262,0.000680,0.000355,0.000355,0.000148,0.000034,0.000502,0.000242,0.000343,0.001575,0.001397,0.001528,0.014622,0.040238,0.043716,0.039326,0.004478,0.182512,0.079151,0.110861,0.069983,0.052170,0.041327,0.025877,0.084301,0.058603,0.053371,0.015953,0.003914,0.002862,0.000486,0.000232,0.000046,0,0,0,0,0,0
