time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.622085,0.077128,0.315785,0.004978,0.000000,0.126782,0.084661,0.084661,0.041983,0.047555,0.096404,0.291254,0.572278,0.119582,0.499406,0.387496,0.015689,0.202132,0.011941,0.007694,0.001065,0.002192,0.006433,0.004653,0.006269,0.005524,0.007144,0.003374,0.005429,0.007151,0.006756,0.005270,0.004290,0.004686,0.002078,0.004538,0.000977,0,0,0,0,0,0
0.023220,0.743442,0.277592,0.561233,0.010059,0.200464,0.213150,0.209265,0.209265,0.296915,0.459365,0.863055,1.000000,0.429715,0.226138,0.287256,0.214126,0.011991,0.143546,0.007539,0.012675,0.001584,0.003271,0.014845,0.006624,0.012364,0.012243,0.019102,0.007236,0.010647,0.011945,0.017188,0.009145,0.007175,0.005710,0.003274,0.005884,0.002120,1,1,1,1,0,0
0.046440,0.844372,0.210160,0.368105,0.013351,0.000000,0.223946,0.205976,0.205976,0.366403,0.048499,0.811244,0.699455,0.063060,0.240625,0.026142,0.024823,0.008206,0.020128,0.005153,0.015298,0.001890,0.003688,0.016138,0.009027,0.013627,0.015914,0.031523,0.012512,0.013891,0.016869,0.022910,0.011329,0.007129,0.005760,0.003336,0.005848,0.003996,0,0,0,0,0,0
0.069660,0.838989,0.409293,0.112663,0.015475,0.199133,0.216836,0.349378,0.349378,0.704675,0.426199,0.100101,0.194114,0.041526,0.175835,0.051742,0.030729,0.009417,0.028120,0.006351,0.019486,0.002897,0.003683,0.021157,0.010379,0.019105,0.019871,0.028899,0.016255,0.013021,0.018479,0.023266,0.010521,0.009833,0.007770,0.005718,0.008610,0.006118,0,0,0,0,0,0
0.092880,0.707101,0.265239,0.165360,0.015567,0.000000,0.184362,0.273170,0.273170,0.294229,0.301264,0.110545,0.166899,0.041585,0.460400,0.047371,0.036280,0.011840,0.039172,0.006843,0.017521,0.003210,0.003941,0.021106,0.010940,0.026886,0.021273,0.025451,0.013768,0.011576,0.016583,0.019427,0.011059,0.011293,0.009264,0.007573,0.011382,0.007225,0,0,0,0,0,0
0.116100,0.653597,0.173297,0.109384,0.015350,0.000000,0.144765,0.211352,0.211352,0.291443,0.007572,0.009132,0.117649,0.023812,0.376004,0.020323,0.041151,0.012655,0.049913,0.007244,0.014197,0.002400,0.003752,0.020180,0.015924,0.028449,0.024187,0.022340,0.012621,0.009451,0.015007,0.016040,0.010956,0.013157,0.009260,0.006700,0.010771,0.005795,0,0,0,0,0,0
0.139320,0.759355,0.121202,0.056932,0.015526,0.000000,0.305997,0.082411,0.082411,0.132546,0.002643,0.003445,0.093372,0.044887,0.131227,0.011726,0.041616,0.016671,0.035256,0.005903,0.011231,0.001941,0.003425,0.020026,0.016715,0.032569,0.026952,0.019413,0.011987,0.011002,0.012914,0.015599,0.009199,0.012313,0.009409,0.006750,0.010342,0.006309,0,0,0,0,0,0
0.162540,0.800718,0.438108,0.108650,0.014085,0.316906,0.776206,0.608296,0.608296,0.191174,0.006567,0.026936,0.154668,0.077320,0.272854,0.011475,0.029099,0.016646,0.021637,0.004678,0.011284,0.001722,0.003602,0.015152,0.014045,0.026149,0.028728,0.013967,0.013222,0.012974,0.013859,0.017539,0.009547,0.010502,0.008231,0.006056,0.010350,0.004918,0,0,0,0,1,1
0.185760,0.830903,0.616756,0.080150,0.012108,0.178648,0.976944,0.961190,0.961190,0.184271,0.000185,0.016835,0.166683,0.024492,0.191218,0.001522,0.012924,0.006407,0.019855,0.004707,0.009658,0.002361,0.003629,0.014018,0.009708,0.019157,0.021028,0.015499,0.013237,0.012784,0.012330,0.021833,0.011795,0.009911,0.005802,0.003691,0.005926,0.002713,0,0,0,0,0,0
0.208980,0.814669,0.350196,0.050163,0.011225,0.000000,0.434168,0.607277,0.607277,0.097813,0.004446,0.004996,0.185222,0.005138,0.054291,0.001166,0.007123,0.002973,0.011046,0.004456,0.013195,0.002405,0.003407,0.012239,0.008488,0.015228,0.018295,0.017680,0.010498,0.010819,0.010355,0.022245,0.011805,0.009352,0.006972,0.003507,0.003353,0.002034,1,0,1,0,0,0
