time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.019251,0.000002,0.000372,0.000099,0.000000,0.000001,0.000002,0.000002,0.000001,0.000003,0.000023,0.000089,0.000891,0.000536,0.000323,0.000156,0.000319,0.000057,0.000448,0.000352,0.000153,0.000187,0.000091,0.000018,0.000065,0.000032,0.000042,0.000046,0.000009,0.000012,0.000013,0.000031,0.000014,0.000142,0.000006,0.000006,0.000006,0,0,0,0,0,0
0.023220,0.023898,0.000003,0.000631,0.000209,0.000002,0.000000,0.000002,0.000002,0.000007,0.000006,0.000008,0.000056,0.002401,0.000515,0.000173,0.000211,0.000835,0.000181,0.000754,0.000899,0.000230,0.000170,0.000100,0.000096,0.000263,0.000117,0.000052,0.000150,0.000010,0.000007,0.000016,0.000048,0.000008,0.000242,0.000003,0.000005,0.000010,0,0,0,0,0,0
0.046440,0.028085,0.000004,0.000658,0.000211,0.000000,0.000000,0.000000,0.000000,0.000015,0.000003,0.000004,0.000035,0.002634,0.000368,0.000251,0.000096,0.001003,0.000144,0.000403,0.000451,0.000235,0.000108,0.000064,0.000157,0.000463,0.000202,0.000056,0.000361,0.000016,0.000008,0.000013,0.000087,0.000003,0.000180,0.000002,0.000007,0.000027,0,0,0,0,0,0
0.069660,0.028562,0.000006,0.000640,0.000282,0.000002,0.000000,0.000000,0.000000,0.000020,0.000007,0.000006,0.000035,0.002425,0.000381,0.000354,0.000103,0.001762,0.000126,0.000183,0.000391,0.000272,0.000190,0.000024,0.000163,0.000646,0.000078,0.000073,0.000964,0.000016,0.000008,0.000011,0.000121,0.000002,0.000068,0.000001,0.000005,0.000028,0,0,0,0,0,0
0.092880,0.028172,0.000005,0.000610,0.000381,0.000000,0.000000,0.000000,0.000000,0.000021,0.000005,0.000002,0.000025,0.002222,0.000310,0.000491,0.000258,0.002679,0.000106,0.000181,0.000929,0.000136,0.000155,0.000027,0.000120,0.000732,0.000182,0.000108,0.001402,0.000021,0.000006,0.000023,0.000296,0.000003,0.000116,0.000001,0.000003,0.000011,0,0,0,0,0,0
0.116100,0.027632,0.000007,0.000593,0.000354,0.000002,0.000000,0.000001,0.000001,0.000026,0.000009,0.000002,0.000026,0.001980,0.000323,0.000632,0.000262,0.003421,0.000200,0.000167,0.001275,0.000134,0.000086,0.000030,0.000050,0.000588,0.000165,0.000132,0.001068,0.000018,0.000007,0.000038,0.000343,0.000002,0.000179,0.000001,0.000003,0.000027,0,0,0,0,0,0
0.139320,0.026255,0.000007,0.000598,0.000302,0.000000,0.000000,0.000000,0.000000,0.000028,0.000008,0.000002,0.000024,0.001772,0.000336,0.000857,0.000340,0.003728,0.000442,0.000212,0.001363,0.000078,0.000179,0.000036,0.000038,0.000568,0.000094,0.000096,0.000559,0.000011,0.000007,0.000045,0.000249,0.000003,0.000250,0.000001,0.000006,0.000078,0,0,0,0,0,0
0.162540,0.025033,0.000009,0.000554,0.000258,0.000001,0.000000,0.000000,0.000000,0.000033,0.000009,0.000001,0.000017,0.001507,0.000244,0.001000,0.000615,0.003085,0.000617,0.000202,0.001160,0.000078,0.000174,0.000027,0.000022,0.000484,0.000109,0.000055,0.000463,0.000010,0.000008,0.000030,0.000328,0.000003,0.000352,0.000002,0.000008,0.000077,0,0,0,0,0,0
0.185760,0.024305,0.000010,0.000495,0.000207,0.000001,0.000000,0.000000,0.000000,0.000037,0.000011,0.000002,0.000022,0.001316,0.000201,0.000935,0.000891,0.001963,0.000744,0.000390,0.000824,0.000048,0.000133,0.000021,0.000013,0.000424,0.000227,0.000054,0.000312,0.000013,0.000011,0.000023,0.000480,0.000004,0.000331,0.000002,0.000005,0.000034,0,0,0,0,0,0
0.208980,0.023431,0.000012,0.000418,0.000172,0.000002,0.000000,0.000000,0.000000,0.000041,0.000016,0.000002,0.000023,0.001168,0.000227,0.000671,0.001232,0.001109,0.000562,0.000521,0.000558,0.000066,0.000168,0.000019,0.000022,0.000342,0.000200,0.000053,0.000279,0.000011,0.000009,0.000025,0.000538,0.000005,0.000246,0.000001,0.000003,0.000031,0,0,0,0,0,0
