time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.609778,0.007763,0.391708,0.366781,0.000000,0.020793,0.008090,0.008090,0.001427,0.000414,0.005535,0.034144,0.225908,0.934782,0.758170,0.553838,0.470148,0.251447,1.000000,0.674311,0.727762,0.427829,0.358317,0.645320,0.380489,0.175344,0.082863,0.097704,0.097867,0.059498,0.041931,0.038561,0.023033,0.027413,0.016914,0.019015,0.031397,0,0,0,0,0,0
0.023220,0.835163,0.041502,0.714741,0.240844,0.033740,0.034773,0.008179,0.008179,0.019819,0.136560,0.369142,0.783435,0.977633,1.000000,0.443496,0.220664,0.250114,0.204102,1.000000,0.982553,0.601063,0.260040,0.122878,0.196818,0.115320,0.056272,0.022376,0.025295,0.025822,0.014730,0.010761,0.009816,0.005785,0.006879,0.004226,0.004758,0.007864,0,0,0,0,0,0
0.046440,0.967309,0.293389,0.432304,0.022972,0.251887,0.001825,0.053984,0.053984,0.372919,0.984236,1.000000,0.768996,0.323031,0.059724,0.009767,0.033870,0.133189,0.162933,0.342890,0.147559,0.049719,0.012313,0.004685,0.008043,0.005146,0.001612,0.000312,0.000263,0.000073,0.000032,0.000013,0.000008,0.000002,0.000001,0.000000,0.000000,0.000000,1,1,1,1,1,1
0.069660,0.994175,0.372047,0.049349,0.003111,0.078658,0.025440,0.184830,0.184830,1.000000,0.465135,0.170354,0.041428,0.007116,0.007593,0.020254,0.020530,0.033624,0.010152,0.016735,0.009030,0.012981,0.001314,0.000509,0.005537,0.001347,0.000229,0.000041,0.000078,0.000044,0.000012,0.000005,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
0.092880,0.968881,0.472609,0.010051,0.003512,0.100562,0.213985,0.791300,0.791300,0.545872,0.020589,0.007740,0.002173,0.001773,0.027976,0.010592,0.001185,0.001861,0.001771,0.010826,0.007376,0.021237,0.000652,0.000439,0.004459,0.000704,0.000154,0.000034,0.000037,0.000025,0.000010,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
0.116100,0.896573,0.548897,0.007771,0.009352,0.076288,0.637875,0.996062,0.996062,0.111595,0.002892,0.000176,0.001859,0.004324,0.024697,0.007797,0.001037,0.012709,0.018880,0.050590,0.046845,0.034852,0.003647,0.001942,0.004274,0.001360,0.000405,0.000089,0.000077,0.000027,0.000014,0.000004,0.000002,0.000001,0.000001,0.000000,0.000001,0.000002,0,0,0,0,0,0
0.139320,0.858779,0.514950,0.010984,0.012185,0.000000,0.901013,0.808745,0.808745,0.049091,0.007153,0.012296,0.008652,0.013631,0.004863,0.015477,0.000951,0.031167,0.033993,0.089387,0.072477,0.032779,0.005520,0.003338,0.005549,0.001373,0.000485,0.000126,0.000169,0.000036,0.000023,0.000005,0.000002,0.000001,0.000001,0.000000,0.000000,0.000001,0,0,0,0,0,0
0.162540,0.864497,0.502219,0.010327,0.008593,0.000000,1.000000,0.717680,0.717680,0.031145,0.044587,0.021714,0.006299,0.010276,0.002072,0.011274,0.003284,0.026878,0.019877,0.071341,0.048054,0.025185,0.004861,0.002309,0.003515,0.001396,0.000300,0.000099,0.000137,0.000079,0.000020,0.000006,0.000003,0.000001,0.000001,0.000000,0.000000,0.000001,0,0,0,0,0,0
0.185760,0.781502,0.558671,0.002115,0.005056,0.056452,0.789004,0.894805,0.894805,0.188955,0.025785,0.001233,0.001173,0.003798,0.002263,0.002108,0.001937,0.005060,0.003562,0.019007,0.013016,0.018469,0.003904,0.007207,0.005833,0.001460,0.000272,0.000135,0.000110,0.000156,0.000041,0.000009,0.000004,0.000001,0.000001,0.000000,0.000000,0.000000,0,0,0,0,0,0
0.208980,0.687609,0.291577,0.002444,0.007952,0.000000,0.257806,0.513174,0.513174,0.158950,0.014780,0.004931,0.002884,0.001816,0.000924,0.001662,0.000852,0.002378,0.001937,0.011501,0.005570,0.029508,0.003760,0.015420,0.020276,0.003948,0.000561,0.000153,0.000202,0.000126,0.000053,0.000011,0.000012,0.000005,0.000002,0.000001,0.000002,0.000006,0,0,0,0,0,0
