time_s,energyAverage,low_band,body_band,high_band,onset_strength,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,low_band_threshold,low_band_rising_edge,bass_vs_high_ratio,onset_plus_ratio,onset_plus_ratio_peak_picked,onset_plus_ratio_peak_picked_low_qualified
0.000000,0.644938,0.047563,0.138605,0.093256,0.000000,0.001666,0.000926,0.000926,0.049051,0.185245,0.131892,0.288731,0.164423,0.085334,0.022646,0.076878,0.056862,0.170976,0.504125,0.298504,0.016887,0.029307,0.170776,0.056918,0.049675,0.068631,0.048340,0.062795,0.130730,0.394973,0.827921,0.422192,0.489570,0.492090,0.189582,0.198445,0.046180,0,0,0,0,0,0
0.023220,0.781045,0.211694,0.556628,0.126889,0.164132,0.035357,0.019870,0.019870,0.278701,0.704673,0.615524,0.872406,0.949701,0.200376,0.145134,0.169083,0.106979,0.453327,0.787710,0.362448,0.057664,0.051146,0.165813,0.079633,0.075648,0.088910,0.057070,0.106009,0.224544,0.467861,0.811121,0.674842,0.765182,0.770875,0.281589,0.366947,0.130972,1,1,0,1,0,0
0.046440,0.917936,0.238052,0.317748,0.055507,0.026358,0.139107,0.190800,0.190800,0.405340,0.264212,0.127299,0.236665,0.871818,0.104061,0.248897,0.092655,0.085028,0.676752,0.091671,0.064720,0.041969,0.025770,0.045546,0.029979,0.021853,0.018113,0.015291,0.069197,0.222630,0.258486,0.292251,0.509093,0.943900,0.710342,0.251255,0.364078,0.173448,0,0,1,0,0,0
0.069660,0.924829,0.435876,0.153296,0.034377,0.197824,0.340584,0.560062,0.560062,0.711843,0.006833,0.021700,0.057910,0.389574,0.180778,0.116517,0.056807,0.084138,0.631535,0.033299,0.059316,0.009015,0.020288,0.020289,0.023516,0.031332,0.009972,0.011083,0.042383,0.116575,0.163125,0.360095,0.528295,0.657649,0.567678,0.301873,0.287455,0.176854,0,0,0,0,0,0
0.092880,0.910048,0.646616,0.126045,0.013425,0.210740,0.648203,0.865748,0.865748,0.845469,0.007912,0.031187,0.009579,0.113467,0.447043,0.028950,0.029585,0.076689,0.231211,0.008315,0.031471,0.003000,0.005298,0.002042,0.009490,0.031089,0.004296,0.003883,0.018555,0.025130,0.086897,0.135557,0.234919,0.296432,0.238916,0.171833,0.143968,0.083990,0,0,0,0,1,1
0.116100,0.866416,0.600136,0.069532,0.002438,0.000000,0.866182,0.843169,0.843169,0.447875,0.000285,0.042423,0.039174,0.040367,0.210211,0.015486,0.006524,0.016946,0.007501,0.002022,0.003598,0.001009,0.001044,0.000311,0.001318,0.004530,0.001012,0.000836,0.006214,0.004506,0.022651,0.025101,0.050148,0.066848,0.079690,0.030425,0.047948,0.018913,0,0,0,0,0,0
0.139320,0.800583,0.488935,0.030332,0.001309,0.000000,0.874675,0.655337,0.655337,0.241811,0.017517,0.032292,0.026531,0.041453,0.044649,0.006735,0.002640,0.005257,0.001339,0.004046,0.001937,0.001327,0.000758,0.000901,0.000670,0.000579,0.001234,0.000689,0.003270,0.001724,0.007079,0.007088,0.009904,0.007969,0.011023,0.004313,0.008134,0.007999,0,0,0,0,0,0
0.162540,0.708100,0.372071,0.030771,0.005539,0.000000,0.772017,0.469411,0.469411,0.138582,0.010932,0.003978,0.006389,0.030361,0.070306,0.042820,0.006610,0.005298,0.024426,0.034127,0.007467,0.006311,0.001601,0.002033,0.002155,0.002069,0.004575,0.011184,0.012287,0.005705,0.042284,0.028172,0.061582,0.027503,0.016326,0.018179,0.013303,0.049730,0,0,0,0,0,0
0.185760,0.621626,0.259676,0.069801,0.011323,0.000000,0.615583,0.307484,0.307484,0.067540,0.000287,0.001096,0.002408,0.005461,0.098592,0.241446,0.013219,0.009519,0.058647,0.223017,0.006372,0.004953,0.000685,0.001707,0.003204,0.022213,0.012162,0.045894,0.009211,0.006825,0.061558,0.020620,0.216385,0.164133,0.032135,0.032947,0.011890,0.028780,0,0,0,0,0,0
0.208980,0.565133,0.171683,0.066227,0.011004,0.000000,0.462900,0.182017,0.182017,0.028246,0.003236,0.007287,0.007532,0.000522,0.010582,0.305214,0.049099,0.029744,0.014585,0.244725,0.002587,0.001069,0.000436,0.003028,0.005355,0.067485,0.007139,0.017598,0.002963,0.002380,0.017917,0.002342,0.156138,0.271919,0.030350,0.021953,0.003303,0.002183,0,0,0,0,0,0
